Number	Time	Temperature
     1	    9570	60.0
     2	    9620	60.0
     3	    9670	28.9
     4	    9720	29.1
     5	    9770	28.9
     6	    9820	29.3
     7	    9870	29.5
     8	    9928	29.8
     9	    9975	30.4
    10	   10021	31.5
    11	   10070	32.4
    12	   10120	33.0
    13	   10170	33.9
    14	   10220	34.6
    15	   10269	35.6
    16	   10319	36.4
    17	   10369	37.3
    18	   10420	38.2
    19	   10470	39.2
    20	   10520	39.9
    21	   10570	40.9
    22	   10620	41.6
    23	   10680	42.5
    24	   10726	43.3
    25	   10773	44.8
    26	   10822	45.7
    27	   10870	46.4
    28	   10920	47.0
    29	   10970	47.7
    30	   11020	48.5
    31	   11069	49.1
    32	   11120	49.8
    33	   11170	50.4
    34	   11220	51.0
    35	   11270	51.5
    36	   11330	51.8
    37	   11376	52.2
    38	   11422	52.3
    39	   11470	52.3
    40	   11520	52.2
    41	   11570	52.1
    42	   11620	51.8
    43	   11670	51.5
    44	   11720	51.2
    45	   11770	51.0
    46	   11820	50.7
    47	   11870	50.3
    48	   11922	49.9
    49	   11970	49.5
    50	   12020	49.2
    51	   12070	49.1
    52	   12130	49.0
    53	   12176	48.8
    54	   12224	48.8
    55	   12270	48.8
    56	   12320	48.8
    57	   12370	48.8
    58	   12420	49.0
    59	   12470	49.1
    60	   12520	49.1
    61	   12570	49.4
    62	   12620	49.5
    63	   12670	49.7
    64	   12720	49.7
    65	   12769	49.8
    66	   12828	49.8
    67	   12874	49.8
    68	   12920	49.8
    69	   12970	49.8
    70	   13020	49.7
    71	   13070	49.7
    72	   13120	49.5
    73	   13170	49.4
    74	   13220	49.2
    75	   13270	49.1
    76	   13320	49.1
    77	   13370	49.1
    78	   13420	49.1
    79	   13470	49.1
    80	   13521	49.2
    81	   13570	49.4
    82	   13620	49.4
    83	   13678	49.5
    84	   13724	49.7
    85	   13770	49.8
    86	   13820	49.9
    87	   13870	49.9
    88	   13920	49.9
    89	   13970	49.9
    90	   14020	49.7
    91	   14070	49.9
    92	   14120	49.8
    93	   14170	49.8
    94	   14220	49.7
    95	   14284	49.7
    96	   14328	49.7
    97	   14374	49.5
    98	   14421	49.4
    99	   14469	49.4
   100	   14520	49.4
   101	   14570	49.4
   102	   14620	49.4
   103	   14670	49.4
   104	   14720	49.5
   105	   14770	49.5
   106	   14820	49.7
   107	   14870	49.7
   108	   14920	49.8
   109	   14970	48.8
   110	   15020	49.8
   111	   15070	49.9
   112	   15120	49.9
   113	   15182	49.9
   114	   15226	49.9
   115	   15271	49.9
   116	   15320	49.9
   117	   15370	49.8
   118	   15420	49.8
   119	   15470	49.8
   120	   15519	49.7
   121	   15570	49.4
   122	   15620	49.7
   123	   15670	49.7
   124	   15720	49.5
   125	   15770	49.5
   126	   15830	49.5
   127	   15878	49.5
   128	   15925	49.7
   129	   15970	49.8
   130	   16020	49.8
   131	   16070	49.9
   132	   16120	49.9
   133	   16170	49.9
   134	   16220	50.1
   135	   16270	49.9
   136	   16320	50.1
   137	   16370	50.1
   138	   16420	50.1
   139	   16470	49.9
   140	   16522	49.9
   141	   16570	49.9
   142	   16630	49.5
   143	   16678	49.8
   144	   16722	49.7
   145	   16770	49.7
   146	   16820	49.7
   147	   16870	49.7
   148	   16920	49.7
   149	   16970	49.7
   150	   17020	49.2
   151	   17070	49.8
   152	   17120	49.8
   153	   17170	49.9
   154	   17220	49.9
   155	   17270	49.9
   156	   17320	50.1
   157	   17370	50.1
   158	   17419	50.1
   159	   17480	50.1
   160	   17528	50.1
   161	   17576	50.1
   162	   17620	50.1
   163	   17670	50.1
   164	   17720	50.1
   165	   17770	49.9
   166	   17820	49.9
   167	   17870	49.8
   168	   17920	49.8
   169	   17969	49.8
   170	   18020	49.8
   171	   18070	49.8
   172	   18132	49.8
   173	   18180	49.7
   174	   18226	49.8
   175	   18271	49.8
   176	   18319	49.9
   177	   18370	49.9
   178	   18420	49.9
   179	   18470	50.1
   180	   18520	50.1
