 Cycle    Time        FAM        HEX        ROX        CY5
     1 2273978 340.986014 431.636364 270.846154 275.356643
     2 2382978 341.769231 436.566434 269.615385 276.986014
     3 2491978 341.675991 438.599068 268.687646 276.804196
     4 2600984 340.972028 438.255245 267.988345 275.348485
     5 2709978 339.923077 436.055944 267.442890 273.156177
     6 2818978 338.794872 432.522145 266.976690 270.764569
     7 2927978 338.083916 428.888112 267.067599 268.944056
     8 3036978 338.755245 424.300699 266.419580 269.221445
     9 3145978 339.682984 419.149184 264.839161 268.888112
    10 3254978 338.592075 416.529138 263.666667 269.645688
    11 3363978 337.820513 412.510490 261.729604 269.048951
    12 3472978 337.979021 411.627040 257.953380 273.293706
    13 3581978 337.477855 412.643357 256.065268 275.440559
    14 3690979 336.277389 415.421911 254.491841 276.867133
    15 3800984 336.897436 416.251748 256.403263 276.617716
    16 3910978 336.655012 415.759907 256.813520 276.596737
    17 4019978 338.976690 416.715618 258.543124 274.517483
    18 4128979 338.804196 418.773893 260.062937 274.128205
    19 4236978 340.256410 422.403263 261.701632 273.312354
    20 4345978 341.736597 424.759907 260.389277 272.771562
    21 4454978 345.249417 423.480186 259.836830 272.948718
    22 4563986 345.032634 422.228438 257.876457 277.997669
    23 4672978 344.925408 420.300699 257.403263 282.487179
    24 4781978 343.256410 417.116550 254.051282 280.960373
    25 4890978 344.790210 413.568765 254.878788 280.752914
    26 4999978 343.209790 409.510490 255.536131 279.776224
    27 5108979 341.466200 408.675991 256.303030 277.025641
    28 5217978 335.655012 409.158508 256.421911 277.855478
    29 5325979 334.960373 410.149184 255.533800 279.473193
    30 5434984 334.247086 409.731935 255.808858 285.582751
    31 5543978 335.601399 408.839161 255.692308 301.487179
    32 5651978 333.426573 407.981352 255.666667 328.862471
    33 5759978 336.079254 405.174825 253.046620 359.000000
    34 5867978 340.335664 405.785548 248.403263 397.100233
    35 5976978 348.995338 405.048951 247.890443 438.051282
    36 6084978 356.480186 404.205128 248.235431 478.631702
    37 6192978 363.400932 406.370629 250.069930 516.785548
    38 6300978 372.184149 406.652681 249.622378 547.624709
    39 6408978 383.128205 405.389277 246.874126 571.468531
    40 6516978 394.724942 403.920746 247.636364 587.090909
    41 6624978 405.491841 401.997669 245.144522 599.484848
    42 6732978 416.565268 400.106061 243.945221 609.348485
    43 6841979 427.960373 398.552448 245.240093 617.969697
    44 6950978 439.692308 397.643357 250.230769 626.636364
    45 7058978 451.776224 397.685315 260.118881 636.636364
