Number	Time	Temperature
     1	 1430019	28.5
     2	 1430069	27.6
     3	 1430119	27.6
     4	 1430169	28.0
     5	 1430219	28.2
     6	 1430277	28.8
     7	 1430329	29.3
     8	 1430375	30.0
     9	 1430425	30.7
    10	 1430471	31.3
    11	 1430519	32.0
    12	 1430569	32.7
    13	 1430619	33.6
    14	 1430669	34.3
    15	 1430719	34.8
    16	 1430769	35.8
    17	 1430819	37.4
    18	 1430869	38.2
    19	 1430919	38.7
    20	 1430979	39.8
    21	 1431033	40.4
    22	 1431079	41.0
    23	 1431127	41.9
    24	 1431173	42.4
    25	 1431221	43.3
    26	 1431269	43.9
    27	 1431319	44.4
    28	 1431369	45.2
    29	 1431427	46.2
    30	 1431473	47.0
    31	 1431521	47.6
    32	 1431573	48.0
    33	 1431621	48.7
    34	 1431669	49.1
    35	 1431719	49.7
    36	 1431769	50.1
    37	 1431819	50.7
    38	 1431869	51.1
    39	 1431919	51.4
    40	 1431969	51.5
    41	 1432019	51.6
    42	 1432069	51.8
    43	 1432119	51.6
    44	 1432169	51.5
    45	 1432219	51.4
    46	 1432269	51.0
    47	 1432319	50.8
    48	 1432369	50.5
    49	 1432419	50.3
    50	 1432481	50.1
    51	 1432527	49.7
    52	 1432579	49.4
    53	 1432625	49.2
    54	 1432675	49.1
    55	 1432721	49.1
    56	 1432771	49.0
    57	 1432819	49.2
    58	 1432869	49.2
    59	 1432929	49.7
    60	 1432969	49.8
    61	 1433019	50.1
    62	 1433069	50.3
    63	 1433119	50.4
    64	 1433169	50.5
    65	 1433219	50.7
    66	 1433269	51.0
    67	 1433319	51.0
    68	 1433369	50.8
    69	 1433419	50.8
    70	 1433479	50.5
    71	 1433527	50.7
    72	 1433581	50.4
    73	 1433619	50.4
    74	 1433669	50.3
    75	 1433729	50.1
    76	 1433771	49.9
    77	 1433821	49.9
    78	 1433869	49.8
    79	 1433919	49.7
    80	 1433969	49.7
    81	 1434019	49.9
    82	 1434069	49.7
    83	 1434119	49.8
    84	 1434169	50.1
    85	 1434219	50.1
    86	 1434269	50.1
    87	 1434319	50.3
    88	 1434369	50.3
    89	 1434419	50.5
    90	 1434469	50.5
    91	 1434519	50.7
    92	 1434569	50.7
    93	 1434619	50.7
    94	 1434669	50.7
    95	 1434719	50.5
    96	 1434769	50.5
    97	 1434819	50.4
    98	 1434869	50.4
    99	 1434921	50.3
   100	 1434981	50.3
   101	 1435033	50.1
   102	 1435077	50.1
   103	 1435123	50.1
   104	 1435169	50.1
   105	 1435219	50.1
   106	 1435269	49.9
   107	 1435319	50.1
   108	 1435369	50.1
   109	 1435419	50.1
   110	 1435469	50.3
   111	 1435519	50.3
   112	 1435569	50.4
   113	 1435619	50.3
   114	 1435669	50.4
   115	 1435719	50.4
   116	 1435771	50.5
   117	 1435827	50.5
   118	 1435871	50.5
   119	 1435919	50.4
   120	 1435969	50.4
   121	 1436019	50.3
   122	 1436069	50.3
   123	 1436119	50.3
   124	 1436169	50.3
   125	 1436219	50.3
   126	 1436269	50.1
   127	 1436319	50.1
   128	 1436369	50.1
   129	 1436420	50.3
   130	 1436481	50.1
   131	 1436529	50.1
   132	 1436575	50.3
   133	 1436627	50.1
   134	 1436679	50.3
   135	 1436727	50.4
   136	 1436775	50.1
   137	 1436823	50.4
   138	 1436873	50.4
   139	 1436925	50.4
   140	 1436969	50.4
   141	 1437027	50.4
   142	 1437079	50.4
   143	 1437125	50.4
   144	 1437175	50.3
   145	 1437221	50.4
   146	 1437269	50.4
   147	 1437319	50.3
   148	 1437369	50.3
   149	 1437419	49.8
   150	 1437469	50.1
   151	 1437519	50.3
   152	 1437569	50.1
   153	 1437619	50.1
   154	 1437669	50.3
   155	 1437719	50.3
   156	 1437769	50.3
   157	 1437819	50.4
   158	 1437869	50.4
   159	 1437919	50.4
   160	 1437969	50.4
   161	 1438019	50.5
   162	 1438069	50.5
   163	 1438119	50.5
   164	 1438169	50.3
   165	 1438219	50.3
   166	 1438269	50.4
   167	 1438319	50.4
   168	 1438369	50.3
   169	 1438419	50.1
   170	 1438469	50.3
   171	 1438519	50.1
   172	 1438569	50.1
   173	 1438619	50.1
   174	 1438669	50.1
   175	 1438719	50.1
   176	 1438769	50.1
   177	 1438831	50.1
   178	 1438869	50.1
   179	 1438919	50.3
   180	 1438969	50.4
   181	 1439019	50.3
   182	 1439069	50.4
   183	 1439119	50.4
   184	 1439169	50.4
   185	 1439219	50.4
   186	 1439269	50.4
   187	 1439319	50.4
   188	 1439369	50.3
   189	 1439419	50.4
   190	 1439469	50.3
   191	 1439519	50.3
   192	 1439569	50.3
   193	 1439619	50.3
   194	 1439669	50.1
   195	 1439719	50.1
   196	 1439769	50.1
   197	 1439819	50.3
   198	 1439869	50.1
   199	 1439921	50.3
   200	 1439969	50.3
   201	 1440019	50.3
   202	 1440071	50.4
   203	 1440119	50.4
   204	 1440169	50.4
   205	 1440219	50.4
   206	 1440269	50.5
   207	 1440319	50.3
   208	 1440369	50.5
   209	 1440419	50.4
   210	 1440469	50.4
   211	 1440519	50.3
   212	 1440569	50.3
   213	 1440619	50.3
   214	 1440669	50.1
   215	 1440719	50.1
   216	 1440769	50.1
   217	 1440819	50.1
   218	 1440869	50.1
   219	 1440922	50.1
   220	 1440969	50.1
   221	 1441019	50.1
   222	 1441081	50.1
   223	 1441127	50.3
   224	 1441169	50.1
   225	 1441219	50.4
   226	 1441269	50.4
   227	 1441319	50.4
   228	 1441369	50.4
   229	 1441419	50.5
   230	 1441469	50.4
   231	 1441519	50.5
   232	 1441569	50.4
   233	 1441619	50.4
   234	 1441669	50.4
   235	 1441719	50.3
   236	 1441770	50.3
   237	 1441819	50.3
   238	 1441881	50.1
   239	 1441933	50.1
   240	 1441977	50.1
   241	 1442027	50.1
   242	 1442071	50.1
   243	 1442119	50.1
   244	 1442169	50.1
   245	 1442219	50.1
   246	 1442269	50.1
   247	 1442319	50.3
   248	 1442369	50.3
   249	 1442419	50.3
   250	 1442469	50.3
   251	 1442519	50.4
   252	 1442569	50.3
   253	 1442621	50.3
   254	 1442669	50.3
   255	 1442719	50.4
   256	 1442769	50.4
   257	 1442819	50.3
   258	 1442869	50.3
   259	 1442919	50.4
   260	 1442969	50.3
   261	 1443019	50.1
   262	 1443069	50.3
   263	 1443119	50.1
   264	 1443169	50.1
   265	 1443229	50.1
   266	 1443277	50.1
   267	 1443323	50.3
   268	 1443369	50.1
   269	 1443419	50.3
   270	 1443469	50.1
   271	 1443519	50.3
   272	 1443569	50.1
   273	 1443619	50.3
   274	 1443669	50.3
   275	 1443719	50.4
   276	 1443769	50.4
   277	 1443819	50.4
   278	 1443869	50.5
   279	 1443921	50.4
   280	 1443969	50.4
   281	 1444020	50.3
   282	 1444069	50.4
   283	 1444119	50.3
   284	 1444169	50.1
   285	 1444219	50.3
   286	 1444269	50.1
   287	 1444319	50.1
   288	 1444371	50.1
   289	 1444419	50.1
   290	 1444469	50.1
   291	 1444519	49.9
   292	 1444569	50.1
   293	 1444619	50.1
   294	 1444669	50.1
   295	 1444725	50.1
   296	 1444775	50.1
   297	 1444819	50.3
   298	 1444869	50.1
   299	 1444919	50.3
   300	 1444973	50.1
   301	 1445019	50.3
   302	 1445069	50.4
   303	 1445119	50.4
   304	 1445169	50.4
   305	 1445219	50.3
   306	 1445269	50.3
   307	 1445321	50.3
   308	 1445369	50.3
   309	 1445419	50.1
   310	 1445469	50.1
   311	 1445519	50.1
   312	 1445569	50.1
   313	 1445619	50.3
   314	 1445669	50.1
   315	 1445719	50.3
   316	 1445769	50.1
   317	 1445819	50.1
   318	 1445879	50.3
   319	 1445921	50.3
   320	 1445969	50.1
   321	 1446019	50.3
   322	 1446069	50.1
   323	 1446129	50.3
   324	 1446175	50.3
   325	 1446219	50.4
   326	 1446269	50.3
   327	 1446319	50.3
   328	 1446369	50.1
   329	 1446419	50.3
   330	 1446469	50.1
   331	 1446519	50.3
   332	 1446569	50.3
   333	 1446619	50.3
   334	 1446669	50.1
   335	 1446731	50.3
   336	 1446781	50.1
   337	 1446827	50.1
   338	 1446879	50.3
   339	 1446925	50.3
   340	 1446973	50.3
   341	 1447019	50.3
   342	 1447069	50.3
   343	 1447119	50.3
   344	 1447169	50.3
   345	 1447219	50.3
   346	 1447269	50.3
   347	 1447319	50.1
   348	 1447370	50.1
   349	 1447419	50.1
   350	 1447477	50.3
   351	 1447531	50.3
   352	 1447577	50.1
   353	 1447625	50.1
   354	 1447675	50.1
   355	 1447723	50.3
   356	 1447769	50.3
   357	 1447819	50.3
   358	 1447869	50.3
   359	 1447921	50.1
   360	 1447969	50.1
   361	 1448019	50.3
   362	 1448070	50.3
   363	 1448119	50.3
   364	 1448179	50.3
   365	 1448233	50.3
   366	 1448277	50.1
   367	 1448323	50.3
   368	 1448377	50.3
   369	 1448425	50.1
   370	 1448473	50.1
   371	 1448521	50.1
   372	 1448569	50.1
   373	 1448619	50.1
   374	 1448669	50.3
   375	 1448719	50.3
   376	 1448769	50.1
   377	 1448819	50.3
   378	 1448869	50.1
   379	 1448919	50.3
   380	 1448969	50.3
   381	 1449019	50.3
   382	 1449069	50.3
   383	 1449119	50.1
   384	 1449169	50.3
   385	 1449219	50.3
   386	 1449269	50.3
   387	 1449319	50.3
   388	 1449369	50.3
   389	 1449429	50.1
   390	 1449479	50.1
   391	 1449523	50.1
   392	 1449573	50.1
   393	 1449621	50.1
   394	 1449669	50.1
   395	 1449719	49.9
   396	 1449769	50.1
   397	 1449819	50.1
   398	 1449869	50.1
   399	 1449919	50.1
   400	 1449969	50.1
   401	 1450019	50.1
   402	 1450069	50.1
   403	 1450119	50.3
   404	 1450169	50.3
   405	 1450219	50.3
   406	 1450269	50.3
   407	 1450319	50.1
   408	 1450369	50.3
   409	 1450419	50.1
   410	 1450479	50.1
   411	 1450529	50.3
   412	 1450581	50.3
   413	 1450625	50.1
   414	 1450675	50.1
   415	 1450723	50.1
   416	 1450773	50.1
   417	 1450823	50.1
   418	 1450871	50.3
   419	 1450919	50.1
   420	 1450969	50.1
   421	 1451019	50.1
   422	 1451069	50.1
   423	 1451119	50.1
   424	 1451169	50.1
   425	 1451219	50.1
   426	 1451271	50.3
   427	 1451319	50.1
   428	 1451369	50.3
   429	 1451419	50.1
   430	 1451469	50.1
   431	 1451519	50.1
   432	 1451569	50.1
   433	 1451619	50.1
   434	 1451677	50.1
   435	 1451729	50.1
   436	 1451777	50.1
   437	 1451823	50.1
   438	 1451873	49.9
   439	 1451921	50.1
   440	 1451969	50.1
   441	 1452019	50.1
   442	 1452069	50.1
   443	 1452119	50.1
   444	 1452169	50.1
   445	 1452219	50.1
   446	 1452269	50.3
   447	 1452319	50.1
   448	 1452369	50.1
   449	 1452419	50.1
   450	 1452469	50.3
   451	 1452519	50.3
   452	 1452569	50.1
   453	 1452619	50.1
   454	 1452669	50.1
   455	 1452719	50.1
   456	 1452769	50.1
   457	 1452819	50.1
   458	 1452869	50.1
   459	 1452919	50.1
   460	 1452969	50.1
   461	 1453019	50.1
   462	 1453069	50.1
   463	 1453119	50.1
   464	 1453169	50.1
   465	 1453219	50.1
   466	 1453269	50.3
   467	 1453319	50.1
   468	 1453369	50.1
   469	 1453419	50.1
   470	 1453469	50.1
   471	 1453519	50.1
   472	 1453569	50.1
   473	 1453619	50.1
   474	 1453669	49.8
   475	 1453719	50.1
   476	 1453769	50.1
   477	 1453819	50.1
   478	 1453869	50.1
   479	 1453921	50.1
   480	 1453969	50.1
   481	 1454019	50.1
   482	 1454069	50.1
   483	 1454119	50.1
   484	 1454177	50.1
   485	 1454233	50.1
   486	 1454277	50.1
   487	 1454323	50.1
   488	 1454377	50.1
   489	 1454425	50.1
   490	 1454473	49.9
   491	 1454523	50.1
   492	 1454569	50.1
   493	 1454619	50.1
   494	 1454669	50.1
   495	 1454719	49.9
   496	 1454769	50.1
   497	 1454819	50.1
   498	 1454869	50.1
