Cycle	Time	FAM	HEX	ROX	CY5
     1	 2263918	419.0	453.0	312.0	805.0
     2	 2372917	419.0	449.0	314.0	809.0
     3	 2481918	423.0	452.0	314.0	813.0
     4	 2590917	423.0	452.0	310.0	810.0
     5	 2699917	421.0	453.0	317.0	812.0
     6	 2808928	419.0	454.0	315.0	809.0
     7	 2917917	419.0	453.0	314.0	808.0
     8	 3030921	420.0	450.0	319.0	812.0
     9	 3140917	419.0	457.0	316.0	812.0
    10	 3250925	419.0	457.0	315.0	816.0
    11	 3360917	414.0	457.0	313.0	812.0
    12	 3470917	415.0	454.0	315.0	814.0
    13	 3580917	414.0	454.0	316.0	813.0
    14	 3690917	418.0	453.0	317.0	815.0
    15	 3800917	419.0	454.0	317.0	817.0
    16	 3914918	419.0	453.0	316.0	816.0
    17	 4040918	416.0	455.0	316.0	815.0
    18	 4150918	415.0	450.0	321.0	820.0
    19	 4260917	414.0	456.0	318.0	820.0
    20	 4370917	416.0	457.0	318.0	817.0
    21	 4480918	413.0	458.0	319.0	822.0
    22	 4591918	418.0	460.0	319.0	819.0
    23	 4702917	417.0	459.0	321.0	821.0
    24	 4813917	417.0	459.0	321.0	821.0
    25	 4924918	419.0	456.0	319.0	824.0
    26	 5035917	415.0	459.0	321.0	825.0
    27	 5146917	416.0	455.0	322.0	828.0
    28	 5260917	417.0	459.0	317.0	836.0
    29	 5371924	419.0	462.0	324.0	843.0
    30	 5482917	413.0	461.0	317.0	856.0
    31	 5593917	418.0	461.0	318.0	872.0
    32	 5704917	420.0	458.0	320.0	905.0
    33	 5821917	413.0	453.0	314.0	937.0
    34	 5932922	414.0	456.0	313.0	993.0
    35	 6043917	415.0	460.0	314.0	1043.0
    36	 6153917	413.0	459.0	320.0	1096.0
    37	 6265918	414.0	454.0	315.0	1168.0
    38	 6376918	413.0	461.0	321.0	1216.0
    39	 6488917	413.0	456.0	314.0	1268.0
    40	 6600918	412.0	459.0	316.0	1325.0
    41	 6712917	411.0	461.0	314.0	1356.0
    42	 6823918	414.0	458.0	315.0	1402.0
    43	 6935923	412.0	462.0	318.0	1419.0
    44	 7046917	412.0	462.0	318.0	1437.0
    45	 7157917	405.0	459.0	312.0	1467.0
