Number	Time	Temperature
     1	    6915	0.0
     2	    6966	0.0
     3	    7015	0.0
     4	    7065	0.0
     5	    7114	0.0
     6	    7165	0.0
     7	    7215	0.0
     8	    7268	0.0
     9	    7315	0.0
    10	    7365	0.0
    11	    7414	0.0
    12	    7464	0.0
    13	    7515	0.0
    14	    7566	0.0
    15	    7615	0.0
    16	    7665	0.0
    17	    7716	0.0
    18	    7766	0.0
    19	    7815	0.0
    20	    7865	0.0
    21	    7916	0.0
    22	    7966	0.0
    23	    8015	0.0
    24	    8065	0.0
    25	    8115	0.0
    26	    8165	0.0
    27	    8218	0.0
    28	    8270	0.0
    29	    8317	0.0
    30	    8365	0.0
    31	    8414	0.0
    32	    8465	0.0
    33	    8516	0.0
    34	    8566	0.0
    35	    8615	0.0
    36	    8665	0.0
    37	    8716	0.0
    38	    8764	0.0
    39	    8815	0.0
    40	    8865	0.0
    41	    8914	0.0
    42	    8964	0.0
    43	    9015	0.0
    44	    9065	0.0
    45	    9115	0.0
    46	    9165	0.0
    47	    9214	0.0
    48	    9270	0.0
    49	    9317	0.0
    50	    9365	0.0
    51	    9415	0.0
    52	    9465	0.0
    53	    9515	0.0
    54	    9566	0.0
    55	    9615	0.0
    56	    9665	0.0
    57	    9715	0.0
    58	    9765	0.0
    59	    9816	0.0
    60	    9866	30.7
    61	    9915	30.8
    62	    9965	30.8
    63	   10015	31.2
    64	   10065	31.5
    65	   10114	32.0
    66	   10164	32.4
    67	   10215	32.9
    68	   10265	33.6
    69	   10316	34.3
    70	   10364	35.1
    71	   10421	35.9
    72	   10469	36.7
    73	   10518	37.4
    74	   10565	39.2
    75	   10616	39.9
    76	   10666	40.7
    77	   10715	41.6
    78	   10765	42.4
    79	   10816	43.1
    80	   10866	43.8
    81	   10916	44.5
    82	   10966	45.4
    83	   11015	46.1
    84	   11065	46.9
    85	   11116	47.4
    86	   11165	48.1
    87	   11216	48.8
    88	   11266	50.1
    89	   11315	50.5
    90	   11365	51.2
    91	   11420	51.5
    92	   11467	51.9
    93	   11517	52.1
    94	   11566	52.2
    95	   11615	52.2
    96	   11665	52.2
    97	   11714	52.2
    98	   11764	52.1
    99	   11814	51.8
   100	   11866	51.5
   101	   11914	51.0
   102	   11966	50.5
   103	   12016	50.3
   104	   12064	50.1
   105	   12114	49.8
   106	   12164	49.5
   107	   12214	49.4
   108	   12265	49.1
   109	   12322	49.1
   110	   12369	49.1
   111	   12418	49.4
   112	   12467	49.5
   113	   12514	49.8
   114	   12564	50.1
   115	   12614	50.3
   116	   12664	50.5
   117	   12714	50.8
   118	   12764	51.0
   119	   12814	51.1
   120	   12866	51.1
   121	   12914	51.1
   122	   12964	51.2
   123	   13014	51.1
   124	   13064	51.0
   125	   13114	50.8
   126	   13165	50.4
   127	   13214	50.3
   128	   13266	50.1
   129	   13320	49.9
   130	   13368	49.8
   131	   13416	49.7
   132	   13464	49.5
   133	   13514	49.5
   134	   13564	49.5
   135	   13616	49.5
   136	   13664	49.7
   137	   13714	49.8
   138	   13764	50.1
   139	   13816	50.3
   140	   13866	50.4
   141	   13914	50.5
   142	   13964	50.8
   143	   14015	50.8
   144	   14065	51.0
   145	   14114	51.0
   146	   14169	51.0
   147	   14216	50.8
   148	   14263	50.8
   149	   14315	50.7
   150	   14366	50.5
   151	   14416	50.3
   152	   14464	50.1
   153	   14516	50.1
   154	   14565	49.8
   155	   14616	49.8
   156	   14664	49.8
   157	   14715	49.8
   158	   14765	49.8
   159	   14815	49.8
   160	   14865	49.8
   161	   14916	49.9
   162	   14964	50.1
   163	   15015	50.3
   164	   15065	50.4
   165	   15121	50.5
   166	   15167	50.7
   167	   15216	50.7
   168	   15264	50.8
   169	   15315	50.8
   170	   15365	50.8
   171	   15414	50.7
   172	   15465	50.3
   173	   15515	50.7
   174	   15565	50.4
   175	   15615	50.3
   176	   15665	50.1
   177	   15715	50.1
   178	   15764	50.1
   179	   15815	49.9
   180	   15865	49.9
   181	   15914	49.9
   182	   15965	49.9
   183	   16015	50.1
   184	   16065	50.1
   185	   16119	50.1
   186	   16167	50.3
   187	   16215	50.4
   188	   16265	50.5
   189	   16316	50.5
   190	   16370	50.5
   191	   16419	50.7
   192	   16465	50.7
   193	   16516	50.7
   194	   16564	50.7
   195	   16615	50.5
   196	   16665	50.4
