Cycle	Time	FAM	HEX	ROX	CY5
     1	  839708	555.0	630.0	0.0	904.0
     2	  945700	556.0	633.0	0.0	904.0
     3	 1050700	556.0	632.0	0.0	912.0
     4	 1155700	559.0	634.0	0.0	910.0
     5	 1261706	554.0	633.0	0.0	912.0
     6	 1367700	558.0	633.0	0.0	913.0
     7	 1473706	552.0	631.0	0.0	913.0
     8	 1579699	559.0	632.0	0.0	920.0
     9	 1685703	560.0	632.0	0.0	917.0
    10	 1792699	555.0	633.0	0.0	923.0
    11	 1898699	558.0	639.0	0.0	918.0
    12	 2004711	556.0	635.0	0.0	922.0
    13	 2110699	562.0	634.0	0.0	929.0
    14	 2216700	556.0	636.0	0.0	926.0
    15	 2322703	556.0	635.0	0.0	922.0
    16	 2428706	555.0	637.0	0.0	922.0
    17	 2534700	555.0	638.0	0.0	925.0
    18	 2640699	553.0	639.0	0.0	919.0
    19	 2746700	554.0	648.0	0.0	926.0
    20	 2852699	553.0	660.0	0.0	925.0
    21	 2958700	554.0	685.0	0.0	922.0
    22	 3064707	554.0	734.0	0.0	924.0
    23	 3170700	551.0	800.0	0.0	924.0
    24	 3276699	557.0	879.0	0.0	922.0
    25	 3382700	561.0	971.0	0.0	923.0
    26	 3488700	563.0	1059.0	0.0	928.0
    27	 3594699	565.0	1147.0	0.0	926.0
    28	 3700700	569.0	1231.0	0.0	934.0
    29	 3806699	575.0	1314.0	0.0	936.0
    30	 3912704	579.0	1384.0	0.0	945.0
    31	 4018700	585.0	1454.0	0.0	949.0
    32	 4124699	589.0	1518.0	0.0	957.0
    33	 4230700	590.0	1584.0	0.0	966.0
    34	 4336700	596.0	1647.0	0.0	976.0
    35	 4442699	605.0	1709.0	0.0	984.0
    36	 4548704	617.0	1766.0	0.0	995.0
    37	 4654700	614.0	1819.0	0.0	1007.0
    38	 4760705	622.0	1852.0	0.0	1013.0
    39	 4866704	629.0	1905.0	0.0	1028.0
    40	 4972699	636.0	1955.0	0.0	1040.0
    41	 5078700	647.0	1999.0	0.0	1058.0
    42	 5184700	657.0	2048.0	0.0	1078.0
    43	 5290704	666.0	2087.0	0.0	1096.0
    44	 5396700	674.0	2124.0	0.0	1115.0
    45	 5502705	684.0	2156.0	0.0	1135.0
