Cycle	Time	FAM	HEX	ROX	CY5
     1	  862177	502.0	357.0	0.0	181.0
     2	  972177	494.0	349.0	0.0	182.0
     3	 1082177	520.0	370.0	0.0	182.0
     4	 1192177	503.0	351.0	0.0	170.0
     5	 1301177	498.0	352.0	0.0	176.0
     6	 1411177	513.0	356.0	0.0	180.0
     7	 1521177	494.0	346.0	0.0	165.0
     8	 1631177	515.0	358.0	0.0	177.0
     9	 1741177	493.0	352.0	0.0	172.0
    10	 1851177	493.0	346.0	0.0	175.0
    11	 1961177	492.0	371.0	0.0	179.0
    12	 2071177	497.0	358.0	0.0	178.0
    13	 2181177	500.0	350.0	0.0	181.0
    14	 2291178	498.0	358.0	0.0	178.0
    15	 2401177	490.0	370.0	0.0	174.0
    16	 2511177	497.0	358.0	0.0	181.0
    17	 2621177	501.0	354.0	0.0	179.0
    18	 2731177	494.0	365.0	0.0	175.0
    19	 2841177	509.0	350.0	0.0	175.0
    20	 2951177	491.0	345.0	0.0	195.0
    21	 3061177	488.0	348.0	0.0	170.0
    22	 3170177	502.0	346.0	0.0	187.0
    23	 3279178	490.0	346.0	0.0	179.0
    24	 3388177	482.0	346.0	0.0	184.0
    25	 3497178	484.0	347.0	0.0	172.0
    26	 3606177	480.0	361.0	0.0	178.0
    27	 3715177	488.0	338.0	0.0	177.0
    28	 3824177	485.0	350.0	0.0	187.0
    29	 3934177	492.0	355.0	0.0	204.0
    30	 4043177	492.0	341.0	0.0	200.0
    31	 4153177	493.0	336.0	0.0	203.0
    32	 4262177	483.0	351.0	0.0	220.0
    33	 4372177	482.0	368.0	0.0	200.0
    34	 4481177	496.0	348.0	0.0	235.0
    35	 4590178	486.0	342.0	0.0	224.0
    36	 4699177	509.0	354.0	0.0	252.0
    37	 4809177	496.0	352.0	0.0	261.0
    38	 4918177	487.0	362.0	0.0	265.0
    39	 5027177	516.0	333.0	0.0	273.0
    40	 5136177	485.0	335.0	0.0	293.0
    41	 5247177	485.0	353.0	0.0	274.0
    42	 5356177	500.0	334.0	0.0	284.0
    43	 5466177	494.0	339.0	0.0	288.0
    44	 5576177	494.0	352.0	0.0	307.0
    45	 5689177	496.0	355.0	0.0	295.0
