Cycle	Time	FAM	HEX	ROX	CY5
     1	 2271387	442.0	471.0	301.0	944.0
     2	 2389390	441.0	471.0	301.0	940.0
     3	 2511385	443.0	471.0	303.0	947.0
     4	 2627382	443.0	469.0	303.0	946.0
     5	 2744388	442.0	468.0	303.0	950.0
     6	 2868382	440.0	466.0	302.0	949.0
     7	 2985382	441.0	466.0	301.0	954.0
     8	 3102399	442.0	467.0	298.0	955.0
     9	 3219391	442.0	468.0	301.0	954.0
    10	 3336382	441.0	469.0	300.0	957.0
    11	 3453387	440.0	469.0	300.0	960.0
    12	 3569382	440.0	466.0	304.0	960.0
    13	 3686382	441.0	467.0	302.0	964.0
    14	 3803382	441.0	465.0	303.0	964.0
    15	 3921382	437.0	469.0	303.0	963.0
    16	 4040382	440.0	462.0	302.0	967.0
    17	 4156382	428.0	451.0	296.0	951.0
    18	 4278382	422.0	441.0	291.0	948.0
    19	 4403382	414.0	435.0	287.0	936.0
    20	 4521382	413.0	433.0	288.0	937.0
    21	 4642382	413.0	427.0	286.0	938.0
    22	 4773383	407.0	433.0	289.0	941.0
    23	 4887382	411.0	428.0	289.0	943.0
    24	 5001382	411.0	433.0	289.0	949.0
    25	 5116382	408.0	432.0	290.0	952.0
    26	 5231382	407.0	434.0	289.0	955.0
    27	 5346389	410.0	433.0	291.0	959.0
    28	 5461382	407.0	434.0	286.0	955.0
    29	 5576382	406.0	434.0	292.0	961.0
    30	 5691399	407.0	437.0	290.0	971.0
    31	 5817382	407.0	435.0	289.0	983.0
    32	 5932382	405.0	435.0	289.0	998.0
    33	 6052382	408.0	437.0	291.0	1022.0
    34	 6167389	410.0	438.0	291.0	1061.0
    35	 6281388	409.0	438.0	291.0	1117.0
    36	 6409391	408.0	439.0	294.0	1170.0
    37	 6524389	406.0	435.0	295.0	1209.0
    38	 6644382	405.0	438.0	295.0	1243.0
    39	 6759382	408.0	433.0	298.0	1278.0
    40	 6879382	404.0	438.0	298.0	1308.0
    41	 6993387	406.0	435.0	296.0	1334.0
    42	 7115397	408.0	437.0	297.0	1364.0
    43	 7247396	408.0	438.0	299.0	1377.0
    44	 7366382	407.0	437.0	299.0	1395.0
    45	 7488382	408.0	437.0	300.0	1414.0
