Cycle	Time	FAM	HEX	ROX	CY5
     1	 2263311	281.0	414.0	213.0	706.0
     2	 2374311	286.0	417.0	214.0	710.0
     3	 2485311	283.0	416.0	219.0	710.0
     4	 2596311	284.0	416.0	212.0	710.0
     5	 2707317	283.0	417.0	214.0	713.0
     6	 2820316	284.0	418.0	216.0	711.0
     7	 2931315	281.0	415.0	219.0	710.0
     8	 3042311	284.0	419.0	213.0	714.0
     9	 3153316	284.0	419.0	217.0	714.0
    10	 3264321	281.0	414.0	217.0	716.0
    11	 3375312	280.0	419.0	217.0	717.0
    12	 3486311	281.0	421.0	213.0	715.0
    13	 3597311	287.0	420.0	214.0	719.0
    14	 3708311	284.0	420.0	217.0	719.0
    15	 3819311	284.0	416.0	218.0	721.0
    16	 3930311	283.0	420.0	218.0	722.0
    17	 4041311	283.0	412.0	217.0	719.0
    18	 4152319	285.0	417.0	217.0	724.0
    19	 4263311	283.0	419.0	211.0	720.0
    20	 4374311	285.0	419.0	218.0	724.0
    21	 4485311	286.0	420.0	217.0	723.0
    22	 4596311	283.0	421.0	218.0	725.0
    23	 4707311	283.0	422.0	218.0	719.0
    24	 4818311	285.0	427.0	217.0	726.0
    25	 4929311	284.0	428.0	216.0	729.0
    26	 5040321	282.0	453.0	217.0	729.0
    27	 5151311	289.0	482.0	216.0	733.0
    28	 5262311	289.0	526.0	218.0	741.0
    29	 5373312	289.0	577.0	217.0	757.0
    30	 5484311	298.0	631.0	214.0	779.0
    31	 5595311	304.0	684.0	218.0	814.0
    32	 5706311	312.0	736.0	218.0	847.0
    33	 5817311	317.0	785.0	220.0	888.0
    34	 5928311	329.0	833.0	218.0	921.0
    35	 6039311	338.0	879.0	222.0	953.0
    36	 6150312	348.0	912.0	219.0	979.0
    37	 6261311	358.0	948.0	218.0	1002.0
    38	 6372311	370.0	978.0	218.0	1025.0
    39	 6483312	387.0	1014.0	220.0	1037.0
    40	 6594311	393.0	1037.0	218.0	1058.0
    41	 6705311	408.0	1062.0	219.0	1076.0
    42	 6816311	418.0	1082.0	217.0	1094.0
    43	 6927312	429.0	1102.0	218.0	1121.0
    44	 7038312	442.0	1118.0	218.0	1135.0
    45	 7149311	456.0	1140.0	219.0	1135.0
