Cycle	Time	FAM	HEX	ROX	CY5
     1	 2265959	447.0	486.0	313.0	808.0
     2	 2376960	446.0	484.0	312.0	817.0
     3	 2486960	429.0	467.0	310.0	816.0
     4	 2596960	432.0	473.0	309.0	818.0
     5	 2707960	430.0	471.0	308.0	821.0
     6	 2817972	433.0	475.0	310.0	822.0
     7	 2928960	432.0	472.0	311.0	822.0
     8	 3039961	427.0	474.0	308.0	820.0
     9	 3150960	429.0	476.0	312.0	821.0
    10	 3260960	430.0	473.0	310.0	826.0
    11	 3370960	424.0	466.0	306.0	830.0
    12	 3480959	427.0	470.0	307.0	833.0
    13	 3591960	424.0	468.0	306.0	835.0
    14	 3701960	419.0	462.0	306.0	836.0
    15	 3811960	423.0	467.0	306.0	839.0
    16	 3921968	421.0	467.0	307.0	841.0
    17	 4031960	421.0	464.0	310.0	838.0
    18	 4141960	421.0	464.0	311.0	843.0
    19	 4251960	420.0	465.0	307.0	847.0
    20	 4361960	414.0	464.0	305.0	845.0
    21	 4471960	418.0	465.0	310.0	849.0
    22	 4581959	412.0	461.0	308.0	850.0
    23	 4691960	414.0	466.0	307.0	849.0
    24	 4801960	420.0	466.0	308.0	854.0
    25	 4911964	415.0	459.0	308.0	854.0
    26	 5021960	419.0	466.0	308.0	856.0
    27	 5131966	416.0	467.0	313.0	859.0
    28	 5241960	420.0	468.0	310.0	862.0
    29	 5351964	419.0	465.0	310.0	864.0
    30	 5461960	420.0	466.0	312.0	876.0
    31	 5571960	421.0	468.0	311.0	888.0
    32	 5681960	418.0	467.0	310.0	917.0
    33	 5791960	422.0	468.0	311.0	954.0
    34	 5901960	425.0	473.0	312.0	997.0
    35	 6011960	427.0	477.0	309.0	1057.0
    36	 6121959	436.0	479.0	312.0	1115.0
    37	 6231960	442.0	481.0	310.0	1179.0
    38	 6341960	455.0	492.0	310.0	1222.0
    39	 6451960	474.0	499.0	311.0	1272.0
    40	 6560963	489.0	505.0	312.0	1308.0
    41	 6670960	510.0	511.0	312.0	1344.0
    42	 6779964	524.0	512.0	311.0	1367.0
    43	 6889960	546.0	526.0	314.0	1384.0
    44	 6998960	566.0	533.0	310.0	1402.0
    45	 7107960	589.0	538.0	312.0	1415.0
