Number	Time	Temperature
     1	 1432766	37.1
     2	 1432816	37.1
     3	 1432866	37.1
     4	 1432916	37.3
     5	 1432966	37.9
     6	 1433016	38.5
     7	 1433066	39.2
     8	 1433130	39.9
     9	 1433174	40.6
    10	 1433220	41.5
    11	 1433268	42.4
    12	 1433316	43.3
    13	 1433366	44.1
    14	 1433416	45.1
    15	 1433466	45.9
    16	 1433516	46.9
    17	 1433566	48.8
    18	 1433616	49.7
    19	 1433666	50.3
    20	 1433716	51.1
    21	 1433768	51.9
    22	 1433816	52.3
    23	 1433866	52.9
    24	 1433916	53.1
    25	 1433966	53.4
    26	 1434016	53.5
    27	 1434066	53.5
    28	 1434128	53.5
    29	 1434174	53.3
    30	 1434218	53.0
    31	 1434266	52.9
    32	 1434316	52.6
    33	 1434366	52.3
    34	 1434416	52.1
    35	 1434466	51.8
    36	 1434516	51.4
    37	 1434566	51.2
    38	 1434624	51.0
    39	 1434668	50.7
    40	 1434716	50.3
    41	 1434766	50.1
    42	 1434816	49.8
    43	 1434866	49.7
    44	 1434916	49.5
    45	 1434966	49.5
    46	 1435016	49.4
    47	 1435066	49.4
    48	 1435116	49.7
    49	 1435166	49.9
    50	 1435228	50.1
    51	 1435322	50.4
    52	 1435366	50.5
    53	 1435416	50.8
    54	 1435466	51.0
    55	 1435516	51.0
    56	 1435566	51.0
    57	 1435616	51.0
    58	 1435668	51.0
    59	 1435716	50.8
    60	 1435766	50.8
    61	 1435816	50.8
    62	 1435866	50.5
    63	 1435922	50.1
    64	 1435974	50.3
    65	 1436018	50.1
    66	 1436068	50.1
    67	 1436116	49.9
    68	 1436166	49.9
    69	 1436216	49.9
    70	 1436266	49.9
    71	 1436316	49.9
    72	 1436368	49.9
    73	 1436416	50.1
    74	 1436466	50.1
    75	 1436516	50.3
    76	 1436567	50.4
    77	 1436630	50.4
    78	 1436674	50.5
    79	 1436720	50.7
    80	 1436766	50.7
    81	 1436815	50.5
    82	 1436866	50.5
    83	 1436916	50.5
    84	 1436966	50.4
    85	 1437016	50.4
    86	 1437066	50.3
    87	 1437115	50.1
    88	 1437166	50.1
    89	 1437216	50.1
    90	 1437266	49.9
    91	 1437316	49.9
    92	 1437366	50.1
    93	 1437426	50.1
    94	 1437468	50.1
    95	 1437520	50.1
    96	 1437566	50.3
    97	 1437616	50.3
    98	 1437666	50.4
    99	 1437716	50.5
   100	 1437766	50.5
   101	 1437816	50.5
   102	 1437868	50.5
   103	 1437916	50.5
   104	 1437966	50.4
   105	 1438016	50.4
   106	 1438066	50.3
   107	 1438130	50.3
   108	 1438176	50.1
   109	 1438222	50.1
   110	 1438268	50.1
   111	 1438316	49.9
   112	 1438366	50.1
   113	 1438416	49.9
   114	 1438466	50.1
   115	 1438516	49.4
   116	 1438568	50.1
   117	 1438616	50.4
   118	 1438668	50.4
   119	 1438716	50.5
   120	 1438766	50.5
   121	 1438827	50.7
   122	 1438874	50.7
   123	 1438919	50.7
   124	 1438967	50.5
   125	 1439030	50.5
   126	 1439076	50.5
   127	 1439122	50.4
   128	 1439166	50.3
   129	 1439216	50.3
   130	 1439266	50.1
   131	 1439316	50.1
   132	 1439366	50.1
   133	 1439416	49.9
   134	 1439466	49.9
   135	 1439516	49.9
   136	 1439566	50.1
   137	 1439616	50.1
   138	 1439668	50.1
   139	 1439722	50.1
   140	 1439772	50.3
   141	 1439818	50.4
   142	 1439866	50.4
   143	 1439918	50.5
   144	 1439966	50.5
   145	 1440016	50.5
   146	 1440066	50.7
   147	 1440116	50.5
   148	 1440166	50.5
   149	 1440216	50.5
   150	 1440266	50.4
   151	 1440316	50.3
   152	 1440366	50.3
   153	 1440425	50.3
   154	 1440468	50.1
   155	 1440518	50.1
   156	 1440566	50.1
   157	 1440616	50.1
   158	 1440666	50.1
   159	 1440716	50.1
   160	 1440766	50.1
   161	 1440816	50.1
   162	 1440866	50.1
   163	 1440916	50.1
   164	 1440966	50.1
   165	 1441016	50.3
   166	 1441066	50.4
   167	 1441116	50.4
   168	 1441174	50.4
   169	 1441222	50.4
   170	 1441266	50.4
   171	 1441318	50.4
   172	 1441366	50.3
