 Cycle    Time        FAM         HEX        ROX         CY5
     1 2263311 283.909091  415.545455 214.045455  707.545455
     2 2374311 283.690909  415.781818 214.345455  708.418182
     3 2485311 283.472727  416.018182 214.645455  709.290909
     4 2596311 283.254545  416.254545 214.945455  710.163636
     5 2707317 283.036364  416.490909 215.245455  711.036364
     6 2820316 282.818182  416.727273 215.545455  711.909091
     7 2931315 282.818182  417.363636 215.545455  712.727273
     8 3042311 282.909091  417.636364 215.545455  713.545455
     9 3153316 283.000000  418.000000 215.363636  714.363636
    10 3264321 283.000000  418.000000 215.909091  715.363636
    11 3375312 283.000000  418.272727 216.272727  716.181818
    12 3486311 282.909091  417.727273 216.363636  716.909091
    13 3597311 283.272727  417.909091 216.181818  718.181818
    14 3708311 283.181818  417.909091 216.000000  718.727273
    15 3819311 283.272727  417.909091 216.090909  719.636364
    16 3930311 283.727273  418.454545 216.090909  720.272727
    17 4041311 284.000000  418.636364 216.181818  721.000000
    18 4152319 284.181818  418.727273 216.636364  721.363636
    19 4263311 284.000000  419.363636 216.909091  722.000000
    20 4374311 284.000000  420.090909 216.818182  722.909091
    21 4485311 283.818182  423.454545 216.727273  723.636364
    22 4596311 284.363636  429.090909 216.545455  724.636364
    23 4707311 284.909091  439.454545 216.636364  726.636364
    24 4818311 285.272727  454.000000 216.636364  729.636364
    25 4929311 286.636364  473.272727 216.909091  735.000000
    26 5040321 288.363636  497.363636 216.909091  743.181818
    27 5151311 290.727273  526.090909 217.000000  754.454545
    28 5262311 293.818182  559.181818 217.181818  769.272727
    29 5373312 298.000000  596.545455 217.181818  787.636364
    30 5484311 302.818182  637.636364 217.636364  808.272727
    31 5595311 308.636364  681.636364 217.909091  831.000000
    32 5706311 315.545455  726.636364 218.000000  855.818182
    33 5817311 322.909091  771.727273 218.181818  882.363636
    34 5928311 331.818182  816.090909 218.363636  909.272727
    35 6039311 341.272727  857.909091 218.454545  936.636364
    36 6150312 351.272727  897.090909 218.909091  963.636364
    37 6261311 361.636364  933.272727 218.818182  989.090909
    38 6372311 372.272727  966.545455 218.818182 1014.000000
    39 6483312 383.636364  996.818182 218.636364 1036.454545
    40 6594311 395.181818 1024.727273 218.727273 1055.909091
    41 6705311 406.963636 1050.609091 218.527273 1074.709091
    42 6816311 418.745455 1076.490909 218.327273 1093.509091
    43 6927312 430.527273 1102.372727 218.127273 1112.309091
    44 7038312 442.309091 1128.254545 217.927273 1131.109091
    45 7149311 454.090909 1154.136364 217.727273 1149.909091
