Cycle	Time	FAM	HEX	ROX	CY5
     1	 2267770	523.0	557.0	1090.0	686.0
     2	 2374778	519.0	549.0	1099.0	686.0
     3	 2481772	519.0	555.0	1099.0	680.0
     4	 2588770	517.0	553.0	1100.0	686.0
     5	 2695770	513.0	555.0	1103.0	686.0
     6	 2802780	518.0	554.0	1099.0	685.0
     7	 2909771	520.0	551.0	1100.0	684.0
     8	 3016770	520.0	554.0	1092.0	687.0
     9	 3123771	515.0	556.0	1092.0	684.0
    10	 3230783	518.0	552.0	1091.0	682.0
    11	 3337771	518.0	553.0	1091.0	680.0
    12	 3444771	515.0	551.0	1092.0	685.0
    13	 3551773	515.0	551.0	1092.0	685.0
    14	 3658770	512.0	551.0	1087.0	681.0
    15	 3765770	514.0	550.0	1091.0	679.0
    16	 3873778	514.0	547.0	1083.0	679.0
    17	 3981770	513.0	547.0	1090.0	683.0
    18	 4089779	513.0	552.0	1099.0	683.0
    19	 4197770	515.0	552.0	1098.0	684.0
    20	 4305771	510.0	553.0	1101.0	685.0
    21	 4413783	514.0	557.0	1103.0	686.0
    22	 4521770	514.0	554.0	1102.0	686.0
    23	 4629777	513.0	558.0	1101.0	686.0
    24	 4737782	510.0	560.0	1097.0	681.0
    25	 4845771	510.0	580.0	1095.0	684.0
    26	 4953770	514.0	606.0	1096.0	685.0
    27	 5061770	521.0	651.0	1099.0	690.0
    28	 5169770	525.0	713.0	1099.0	698.0
    29	 5277770	532.0	786.0	1102.0	708.0
    30	 5385770	544.0	864.0	1098.0	728.0
    31	 5493770	557.0	947.0	1103.0	752.0
    32	 5601770	584.0	1031.0	1103.0	791.0
    33	 5709770	615.0	1109.0	1102.0	828.0
    34	 5817783	653.0	1186.0	1101.0	872.0
    35	 5925770	694.0	1262.0	1102.0	918.0
    36	 6033773	741.0	1334.0	1100.0	957.0
    37	 6141770	792.0	1401.0	1099.0	998.0
    38	 6249782	846.0	1455.0	1099.0	1037.0
    39	 6357770	906.0	1511.0	1102.0	1072.0
    40	 6465770	969.0	1567.0	1100.0	1107.0
    41	 6573772	1039.0	1615.0	1102.0	1137.0
    42	 6681770	1113.0	1667.0	1098.0	1168.0
    43	 6789770	1189.0	1710.0	1094.0	1197.0
    44	 6897770	1261.0	1749.0	1094.0	1240.0
    45	 7022770	1326.0	1774.0	1089.0	1232.0
