Cycle	Time	FAM	HEX	ROX	CY5
     1	 2277703	470.0	484.0	326.0	972.0
     2	 2394695	468.0	482.0	324.0	977.0
     3	 2512705	467.0	480.0	324.0	981.0
     4	 2631695	468.0	480.0	326.0	986.0
     5	 2750695	467.0	482.0	327.0	983.0
     6	 2869700	467.0	480.0	324.0	985.0
     7	 2988695	467.0	483.0	322.0	987.0
     8	 3107695	465.0	484.0	325.0	990.0
     9	 3227695	465.0	483.0	324.0	990.0
    10	 3347695	465.0	483.0	323.0	990.0
    11	 3467696	462.0	480.0	324.0	991.0
    12	 3587707	464.0	483.0	324.0	995.0
    13	 3707718	462.0	479.0	321.0	995.0
    14	 3827695	460.0	477.0	319.0	997.0
    15	 3953695	467.0	480.0	318.0	996.0
    16	 4073695	468.0	479.0	320.0	1001.0
    17	 4192699	469.0	480.0	319.0	1000.0
    18	 4317706	468.0	479.0	321.0	1000.0
    19	 4439702	467.0	478.0	322.0	1000.0
    20	 4561695	461.0	480.0	317.0	1002.0
    21	 4680696	465.0	477.0	319.0	1008.0
    22	 4800695	467.0	479.0	317.0	1006.0
    23	 4920695	465.0	480.0	315.0	1003.0
    24	 5039720	460.0	479.0	319.0	1005.0
    25	 5164695	466.0	480.0	317.0	1005.0
    26	 5283695	464.0	479.0	317.0	1003.0
    27	 5402695	467.0	480.0	314.0	1005.0
    28	 5543695	465.0	478.0	315.0	1010.0
    29	 5662705	466.0	479.0	319.0	1014.0
    30	 5781701	468.0	479.0	314.0	1020.0
    31	 5905695	469.0	477.0	313.0	1030.0
    32	 6024695	468.0	481.0	316.0	1049.0
    33	 6149696	466.0	481.0	311.0	1070.0
    34	 6270695	472.0	485.0	318.0	1105.0
    35	 6395695	473.0	495.0	315.0	1143.0
    36	 6514695	483.0	517.0	316.0	1187.0
    37	 6635695	496.0	544.0	313.0	1224.0
    38	 6754703	523.0	582.0	312.0	1268.0
    39	 6878697	555.0	615.0	313.0	1306.0
    40	 6997712	603.0	671.0	314.0	1342.0
    41	 7116706	654.0	715.0	318.0	1372.0
    42	 7235695	712.0	767.0	317.0	1409.0
    43	 7354708	767.0	814.0	318.0	1429.0
    44	 7473695	825.0	858.0	319.0	1451.0
    45	 7591695	885.0	903.0	318.0	1470.0
