 Cycle    Time        FAM        HEX        ROX         CY5
     1 2267760 472.409091 488.136364 311.636364  798.636364
     2 2379760 471.600000 488.272727 312.127273  800.472727
     3 2491760 470.790909 488.409091 312.618182  802.309091
     4 2603760 469.981818 488.545455 313.109091  804.145455
     5 2718761 469.172727 488.681818 313.600000  805.981818
     6 2830769 468.363636 488.818182 314.090909  807.818182
     7 2942769 467.909091 489.090909 314.818182  809.909091
     8 3054760 467.545455 489.727273 315.272727  811.363636
     9 3166760 467.727273 490.636364 315.545455  812.727273
    10 3278768 467.000000 491.272727 316.090909  813.909091
    11 3390760 466.818182 491.636364 316.636364  814.363636
    12 3502760 466.727273 492.000000 316.818182  815.272727
    13 3614769 466.363636 492.727273 316.818182  816.090909
    14 3726760 466.727273 493.636364 317.272727  817.000000
    15 3838760 467.272727 494.727273 317.181818  817.454545
    16 3950760 467.636364 495.454545 317.181818  818.090909
    17 4062767 468.090909 496.272727 316.727273  818.909091
    18 4174771 468.090909 496.545455 316.181818  819.363636
    19 4286765 468.000000 496.818182 316.272727  820.090909
    20 4398769 468.272727 497.090909 316.272727  820.727273
    21 4510761 468.909091 497.818182 316.272727  821.272727
    22 4622760 469.363636 498.363636 316.000000  822.181818
    23 4753760 469.909091 498.909091 316.545455  823.090909
    24 4865760 470.272727 498.545455 316.818182  824.363636
    25 4977760 470.909091 499.363636 317.090909  826.454545
    26 5090762 470.818182 499.909091 317.545455  829.454545
    27 5202761 471.181818 499.909091 318.090909  834.090909
    28 5314760 471.272727 500.636364 318.727273  841.181818
    29 5426760 471.636364 501.090909 319.090909  852.636364
    30 5538760 472.090909 502.181818 319.545455  868.545455
    31 5670760 472.818182 503.181818 320.000000  889.818182
    32 5783760 474.181818 504.000000 320.363636  917.454545
    33 5895760 476.363636 505.727273 321.272727  950.090909
    34 6008760 480.272727 507.272727 322.000000  988.363636
    35 6120760 485.636364 510.000000 322.636364 1030.909091
    36 6233760 493.090909 512.363636 322.909091 1078.272727
    37 6345760 503.090909 515.545455 323.181818 1128.454545
    38 6457760 515.818182 520.272727 323.909091 1179.363636
    39 6569760 530.727273 524.363636 324.090909 1231.454545
    40 6682760 548.727273 530.454545 324.545455 1280.363636
    41 6794760 568.809091 536.418182 324.836364 1330.918182
    42 6906768 588.890909 542.381818 325.127273 1381.472727
    43 7018760 608.972727 548.345455 325.418182 1432.027273
    44 7131760 629.054545 554.309091 325.709091 1482.581818
    45 7243760 649.136364 560.272727 326.000000 1533.136364
