Number	Time	Temperature
     1	 1431880	60.0
     2	 1431928	59.8
     3	 1431978	35.8
     4	 1432028	35.8
     5	 1432078	35.8
     6	 1432142	35.9
     7	 1432186	36.3
     8	 1432228	37.1
     9	 1432278	37.4
    10	 1432328	38.1
    11	 1432380	38.7
    12	 1432428	39.5
    13	 1432478	40.2
    14	 1432530	40.9
    15	 1432578	41.6
    16	 1432628	42.4
    17	 1432678	43.3
    18	 1432742	44.2
    19	 1432788	44.8
    20	 1432848	46.5
    21	 1432882	47.3
    22	 1432930	48.0
    23	 1432978	47.8
    24	 1433030	49.5
    25	 1433078	50.1
    26	 1433128	50.8
    27	 1433178	51.5
    28	 1433228	51.9
    29	 1433278	52.3
    30	 1433328	52.6
    31	 1433378	52.9
    32	 1433442	53.0
    33	 1433486	53.0
    34	 1433536	52.9
    35	 1433582	52.7
    36	 1433630	52.6
    37	 1433680	52.3
    38	 1433728	52.2
    39	 1433778	51.9
    40	 1433828	51.6
    41	 1433878	51.4
    42	 1433928	51.1
    43	 1433978	50.8
    44	 1434028	50.5
    45	 1434078	50.3
    46	 1434152	50.1
    47	 1434194	49.9
    48	 1434240	49.7
    49	 1434290	49.4
    50	 1434334	49.4
    51	 1434380	49.5
    52	 1434430	49.5
    53	 1434484	49.7
    54	 1434530	49.8
    55	 1434580	50.1
    56	 1434630	50.1
    57	 1434680	50.3
    58	 1434730	50.5
    59	 1434778	50.7
    60	 1434830	51.0
    61	 1434878	51.0
    62	 1434942	51.1
    63	 1434986	51.1
    64	 1435028	51.1
    65	 1435078	51.0
    66	 1435140	51.0
    67	 1435178	50.8
    68	 1435228	50.7
    69	 1435278	50.5
    70	 1435328	50.4
    71	 1435394	50.3
    72	 1435442	50.1
    73	 1435486	50.1
    74	 1435536	50.1
    75	 1435586	49.9
    76	 1435650	49.9
    77	 1435692	50.1
    78	 1435728	50.1
    79	 1435778	50.1
    80	 1435832	50.1
    81	 1435880	50.3
    82	 1435928	50.4
    83	 1435978	50.5
    84	 1436028	50.7
    85	 1436078	50.7
    86	 1436128	50.8
    87	 1436178	50.7
    88	 1436228	50.7
    89	 1436278	50.7
    90	 1436328	50.7
    91	 1436378	50.4
    92	 1436442	50.5
    93	 1436488	50.4
    94	 1436536	50.3
    95	 1436578	50.1
    96	 1436628	50.1
    97	 1436680	50.1
    98	 1436732	50.1
    99	 1436786	50.1
   100	 1436828	50.1
   101	 1436878	50.1
   102	 1436928	50.1
   103	 1436978	50.1
   104	 1437028	50.1
   105	 1437080	50.3
   106	 1437128	50.4
   107	 1437178	50.4
   108	 1437244	50.4
   109	 1437294	50.4
   110	 1437340	50.5
   111	 1437386	50.5
   112	 1437434	50.5
   113	 1437478	50.5
   114	 1437530	50.5
   115	 1437578	50.4
   116	 1437628	50.4
   117	 1437678	50.3
   118	 1437728	50.3
   119	 1437778	50.3
   120	 1437830	50.3
   121	 1437878	50.1
   122	 1437928	50.1
   123	 1437978	50.1
   124	 1438044	50.1
   125	 1438090	50.1
   126	 1438142	50.1
   127	 1438186	50.1
   128	 1438236	50.3
   129	 1438280	50.3
   130	 1438328	50.3
   131	 1438378	50.4
   132	 1438428	50.5
   133	 1438478	50.4
   134	 1438528	50.5
   135	 1438578	50.5
   136	 1438628	50.5
   137	 1438678	50.5
   138	 1438728	50.4
   139	 1438794	50.4
   140	 1438840	50.4
   141	 1438886	50.4
   142	 1438930	50.3
   143	 1438980	50.3
   144	 1439038	50.3
   145	 1439080	50.1
   146	 1439128	50.1
   147	 1439178	50.1
   148	 1439228	50.1
   149	 1439278	50.1
   150	 1439328	50.1
   151	 1439378	50.1
   152	 1439428	50.1
   153	 1439496	49.8
   154	 1439542	50.3
   155	 1439592	50.3
   156	 1439636	50.3
   157	 1439684	50.4
   158	 1439734	50.4
   159	 1439780	50.4
   160	 1439830	50.4
   161	 1439878	50.4
   162	 1439928	50.4
   163	 1439978	50.3
   164	 1440028	50.4
   165	 1440078	50.3
   166	 1440128	50.3
   167	 1440178	50.3
   168	 1440228	50.3
   169	 1440296	50.1
   170	 1440340	50.1
   171	 1440382	50.1
   172	 1440428	50.1
   173	 1440480	50.1
   174	 1440528	50.3
   175	 1440578	50.3
   176	 1440628	50.4
   177	 1440678	50.4
   178	 1440728	50.4
   179	 1440778	50.1
   180	 1440830	50.5
