 Cycle    Time         FAM        HEX        ROX         CY5
     1 2266827  428.863636 466.909091 820.136364  633.954545
     2 2375827  428.963636 466.927273 822.854545  634.672727
     3 2485827  429.063636 466.945455 825.572727  635.390909
     4 2594829  429.163636 466.963636 828.290909  636.109091
     5 2704827  429.263636 466.981818 831.009091  636.827273
     6 2814827  429.363636 467.000000 833.727273  637.545455
     7 2924844  429.636364 467.181818 836.545455  638.727273
     8 3034839  429.181818 467.090909 839.000000  639.272727
     9 3147827  428.909091 467.181818 841.454545  639.727273
    10 3257831  428.727273 467.363636 844.090909  639.909091
    11 3367830  428.181818 467.090909 846.545455  640.272727
    12 3477827  428.000000 467.090909 850.181818  640.272727
    13 3587836  428.000000 467.363636 852.181818  640.363636
    14 3697827  427.727273 467.727273 854.181818  640.727273
    15 3807841  427.545455 467.818182 856.454545  641.000000
    16 3917827  425.363636 468.181818 858.363636  641.363636
    17 4027827  425.181818 468.909091 860.454545  641.909091
    18 4137833  425.181818 469.454545 862.363636  642.272727
    19 4247844  425.545455 470.181818 864.363636  642.545455
    20 4357827  425.272727 470.363636 865.909091  642.909091
    21 4467831  425.000000 471.000000 867.181818  643.636364
    22 4580831  426.363636 471.818182 868.727273  644.000000
    23 4690827  426.636364 472.363636 869.909091  645.090909
    24 4800836  426.909091 472.727273 871.181818  646.545455
    25 4930827  426.818182 472.818182 871.909091  649.363636
    26 5040827  427.545455 473.636364 872.636364  653.727273
    27 5150827  430.727273 474.000000 873.454545  661.000000
    28 5260828  432.363636 474.545455 874.090909  672.090909
    29 5370828  435.090909 473.272727 874.636364  687.727273
    30 5480827  439.636364 474.363636 874.909091  708.818182
    31 5590828  447.818182 476.272727 875.181818  735.000000
    32 5700837  461.000000 479.090909 875.181818  766.454545
    33 5810827  479.090909 483.000000 874.636364  802.818182
    34 5920828  504.454545 488.727273 874.363636  843.272727
    35 6030827  537.636364 496.454545 873.909091  887.181818
    36 6140827  575.454545 505.909091 874.000000  932.727273
    37 6250827  621.727273 517.363636 873.636364  979.272727
    38 6360828  674.181818 530.909091 873.363636 1025.090909
    39 6470839  733.545455 546.000000 873.090909 1068.090909
    40 6580829  798.181818 565.090909 872.727273 1108.090909
    41 6690832  869.609091 584.227273 872.463636 1146.409091
    42 6800827  941.036364 603.363636 872.200000 1184.727273
    43 6910837 1012.463636 622.500000 871.936364 1223.045455
    44 7020834 1083.890909 641.636364 871.672727 1261.363636
    45 7130836 1155.318182 660.772727 871.409091 1299.681818
