Number	Time	Temperature
     1	    9279	0.0
     2	    9329	0.0
     3	    9379	0.0
     4	    9428	0.0
     5	    9478	0.0
     6	    9528	0.0
     7	    9578	0.0
     8	    9628	0.0
     9	    9678	0.0
    10	    9728	0.0
    11	    9779	0.0
    12	    9828	0.0
    13	    9879	0.0
    14	    9929	0.0
    15	    9979	0.0
    16	   10029	0.0
    17	   10079	0.0
    18	   10129	0.0
    19	   10179	0.0
    20	   10229	0.0
    21	   10279	0.0
    22	   10329	0.0
    23	   10379	0.0
    24	   10429	0.0
    25	   10479	0.0
    26	   10528	0.0
    27	   10578	0.0
    28	   10628	0.0
    29	   10678	0.0
    30	   10728	0.0
    31	   10778	0.0
    32	   10829	0.0
    33	   10879	0.0
    34	   10929	0.0
    35	   10978	0.0
    36	   11029	0.0
    37	   11079	0.0
    38	   11129	0.0
    39	   11179	0.0
    40	   11229	0.0
    41	   11279	0.0
    42	   11329	0.0
    43	   11378	0.0
    44	   11429	0.0
    45	   11479	0.0
    46	   11529	0.0
    47	   11578	0.0
    48	   11628	0.0
    49	   11678	0.0
    50	   11728	0.0
    51	   11780	0.0
    52	   11828	0.0
    53	   11879	56.4
    54	   11929	57.1
    55	   11979	57.4
    56	   12029	57.7
    57	   12079	57.7
    58	   12129	0.0
    59	   12181	0.0
    60	   12229	0.0
    61	   12279	0.0
    62	   12329	0.0
    63	   12379	0.0
    64	   12431	0.0
    65	   12479	0.0
    66	   12528	0.0
    67	   12578	0.0
    68	   12628	0.0
    69	   12678	0.0
    70	   12728	0.0
    71	   12778	0.0
    72	   12828	52.9
    73	   12879	52.5
    74	   12929	52.2
    75	   12979	51.8
    76	   13029	0.0
    77	   13079	0.0
    78	   13129	0.0
    79	   13179	0.0
    80	   13229	0.0
    81	   13281	0.0
    82	   13329	0.0
    83	   13379	0.0
    84	   13429	0.0
    85	   13479	0.0
    86	   13529	0.0
    87	   13578	0.0
    88	   13630	0.0
    89	   13678	0.0
    90	   13728	0.0
    91	   13778	0.0
    92	   13828	0.0
    93	   13878	0.0
    94	   13929	0.0
    95	   13979	0.0
    96	   14029	0.0
    97	   14078	0.0
    98	   14129	0.0
    99	   14179	45.5
   100	   14229	45.8
   101	   14279	46.1
   102	   14329	46.5
   103	   14379	47.0
   104	   14429	0.0
   105	   14481	0.0
   106	   14529	0.0
   107	   14579	0.0
   108	   14629	0.0
   109	   14678	0.0
   110	   14728	0.0
   111	   14778	0.0
   112	   14828	0.0
   113	   14878	0.0
   114	   14928	50.8
   115	   14979	51.4
   116	   15029	52.2
   117	   15079	52.6
   118	   15129	52.9
   119	   15181	53.0
   120	   15229	53.3
   121	   15279	53.3
   122	   15329	53.3
   123	   15379	53.3
   124	   15429	53.1
   125	   15479	53.0
   126	   15529	0.0
   127	   15579	0.0
   128	   15628	0.0
   129	   15678	0.0
   130	   15728	0.0
   131	   15778	0.0
   132	   15831	0.0
   133	   15878	0.0
   134	   15928	0.0
   135	   15979	0.0
   136	   16031	0.0
   137	   16079	0.0
   138	   16129	0.0
   139	   16179	0.0
   140	   16229	0.0
   141	   16279	0.0
   142	   16329	0.0
   143	   16379	0.0
   144	   16429	0.0
   145	   16479	0.0
   146	   16529	0.0
   147	   16579	0.0
   148	   16629	0.0
   149	   16678	0.0
   150	   16728	0.0
   151	   16778	0.0
   152	   16828	0.0
   153	   16878	0.0
   154	   16928	0.0
   155	   16978	0.0
   156	   17029	0.0
   157	   17079	0.0
   158	   17129	0.0
   159	   17181	0.0
   160	   17229	0.0
   161	   17279	0.0
   162	   17329	0.0
   163	   17379	0.0
   164	   17429	0.0
   165	   17479	0.0
   166	   17529	0.0
   167	   17579	0.0
   168	   17628	0.0
   169	   17678	0.0
   170	   17728	0.0
   171	   17778	0.0
   172	   17828	0.0
   173	   17878	0.0
   174	   17928	0.0
   175	   17978	0.0
   176	   18029	0.0
   177	   18079	0.0
   178	   18129	0.0
   179	   18179	0.0
   180	   18229	0.0
   181	   18279	0.0
   182	   18328	0.0
   183	   18379	0.0
   184	   18429	0.0
   185	   18479	0.0
   186	   18529	0.0
   187	   18578	0.0
   188	   18629	0.0
   189	   18678	0.0
   190	   18728	0.0
   191	   18778	0.0
   192	   18828	0.0
   193	   18878	0.0
   194	   18928	0.0
   195	   18978	0.0
   196	   19028	0.0
   197	   19079	0.0
