Cycle	Time	FAM	HEX	ROX	CY5
     1	  846135	420.0	419.0	0.0	303.0
     2	  954135	425.0	427.0	0.0	327.0
     3	 1062135	416.0	418.0	0.0	302.0
     4	 1170135	434.0	428.0	0.0	323.0
     5	 1278135	424.0	437.0	0.0	313.0
     6	 1386135	419.0	443.0	0.0	314.0
     7	 1494135	416.0	450.0	0.0	322.0
     8	 1602135	429.0	421.0	0.0	309.0
     9	 1710135	434.0	424.0	0.0	304.0
    10	 1818135	417.0	427.0	0.0	321.0
    11	 1926135	418.0	445.0	0.0	321.0
    12	 2034135	438.0	429.0	0.0	310.0
    13	 2142135	415.0	445.0	0.0	319.0
    14	 2250135	425.0	447.0	0.0	316.0
    15	 2358135	434.0	438.0	0.0	312.0
    16	 2466135	417.0	433.0	0.0	339.0
    17	 2574135	432.0	431.0	0.0	321.0
    18	 2682135	407.0	441.0	0.0	316.0
    19	 2790135	427.0	424.0	0.0	324.0
    20	 2898135	424.0	424.0	0.0	319.0
    21	 3006135	425.0	420.0	0.0	318.0
    22	 3114135	426.0	434.0	0.0	322.0
    23	 3222135	419.0	430.0	0.0	329.0
    24	 3330135	429.0	420.0	0.0	318.0
    25	 3438135	428.0	431.0	0.0	319.0
    26	 3546135	433.0	445.0	0.0	336.0
    27	 3654135	427.0	452.0	0.0	310.0
    28	 3762136	429.0	432.0	0.0	330.0
    29	 3870135	427.0	438.0	0.0	320.0
    30	 3978135	443.0	427.0	0.0	368.0
    31	 4086135	433.0	437.0	0.0	370.0
    32	 4194135	430.0	439.0	0.0	430.0
    33	 4302135	423.0	436.0	0.0	484.0
    34	 4410136	430.0	439.0	0.0	512.0
    35	 4518135	456.0	467.0	0.0	602.0
    36	 4626136	475.0	469.0	0.0	624.0
    37	 4734135	505.0	486.0	0.0	682.0
    38	 4842135	521.0	557.0	0.0	750.0
    39	 4949135	564.0	556.0	0.0	778.0
    40	 5056135	631.0	610.0	0.0	816.0
    41	 5163135	679.0	641.0	0.0	848.0
    42	 5270135	757.0	702.0	0.0	875.0
    43	 5377135	813.0	736.0	0.0	912.0
    44	 5484135	891.0	769.0	0.0	920.0
    45	 5591135	947.0	803.0	0.0	940.0
