Cycle	Time	FAM	HEX	ROX	CY5
     1	 2274611	459.0	412.0	239.0	772.0
     2	 2382611	459.0	412.0	238.0	776.0
     3	 2490611	459.0	414.0	238.0	779.0
     4	 2597611	461.0	414.0	237.0	781.0
     5	 2705611	462.0	417.0	242.0	783.0
     6	 2812612	463.0	419.0	241.0	781.0
     7	 2919611	463.0	420.0	242.0	782.0
     8	 3026611	465.0	420.0	243.0	780.0
     9	 3133617	460.0	417.0	242.0	779.0
    10	 3241611	462.0	422.0	241.0	781.0
    11	 3348611	464.0	421.0	242.0	780.0
    12	 3455611	465.0	425.0	243.0	778.0
    13	 3562611	467.0	424.0	243.0	778.0
    14	 3670611	465.0	425.0	244.0	778.0
    15	 3778614	466.0	424.0	244.0	777.0
    16	 3886611	467.0	423.0	245.0	778.0
    17	 3994611	466.0	424.0	248.0	779.0
    18	 4102616	469.0	427.0	245.0	776.0
    19	 4210611	466.0	428.0	247.0	777.0
    20	 4318611	469.0	429.0	247.0	775.0
    21	 4426611	471.0	431.0	247.0	772.0
    22	 4534611	469.0	429.0	245.0	777.0
    23	 4642611	469.0	430.0	244.0	777.0
    24	 4750611	470.0	430.0	245.0	775.0
    25	 4858611	473.0	432.0	246.0	774.0
    26	 4966611	469.0	432.0	246.0	777.0
    27	 5074611	469.0	426.0	248.0	778.0
    28	 5183613	470.0	433.0	245.0	776.0
    29	 5291611	470.0	435.0	246.0	779.0
    30	 5399611	472.0	433.0	250.0	782.0
    31	 5508618	468.0	428.0	248.0	792.0
    32	 5617611	472.0	432.0	249.0	799.0
    33	 5725616	472.0	436.0	248.0	821.0
    34	 5833611	473.0	437.0	250.0	852.0
    35	 5942611	473.0	438.0	249.0	895.0
    36	 6051611	477.0	440.0	248.0	946.0
    37	 6160611	474.0	440.0	252.0	1000.0
    38	 6269611	476.0	440.0	252.0	1056.0
    39	 6378611	477.0	439.0	251.0	1113.0
    40	 6487611	478.0	440.0	251.0	1161.0
    41	 6596611	479.0	440.0	250.0	1205.0
    42	 6705612	477.0	441.0	251.0	1246.0
    43	 6814611	475.0	443.0	251.0	1285.0
    44	 6923611	475.0	439.0	253.0	1325.0
    45	 7050611	481.0	444.0	251.0	1318.0
