Number	Time	Temperature
     1	 1431715	32.3
     2	 1431765	31.3
     3	 1431815	31.5
     4	 1431865	31.5
     5	 1431925	31.7
     6	 1431970	31.8
     7	 1432021	32.0
     8	 1432071	32.5
     9	 1432115	32.9
    10	 1432165	33.4
    11	 1432221	33.7
    12	 1432265	34.8
    13	 1432315	35.3
    14	 1432365	35.8
    15	 1432415	36.4
    16	 1432465	36.9
    17	 1432515	37.4
    18	 1432565	37.9
    19	 1432615	38.4
    20	 1432665	39.0
    21	 1432727	39.5
    22	 1432777	40.4
    23	 1432819	40.9
    24	 1432869	41.3
    25	 1432923	41.9
    26	 1432973	42.4
    27	 1433015	42.8
    28	 1433065	43.3
    29	 1433119	43.7
    30	 1433165	44.1
    31	 1433215	44.4
    32	 1433265	44.8
    33	 1433315	45.2
    34	 1433365	45.7
    35	 1433415	45.9
    36	 1433479	46.4
    37	 1433525	47.0
    38	 1433573	47.4
    39	 1433615	47.7
    40	 1433665	48.1
    41	 1433715	48.4
    42	 1433765	48.7
    43	 1433815	49.0
    44	 1433865	49.2
    45	 1433915	49.7
    46	 1433965	49.8
    47	 1434015	50.1
    48	 1434065	50.3
    49	 1434115	50.4
    50	 1434177	50.7
    51	 1434225	50.7
    52	 1434271	50.8
    53	 1434319	50.7
    54	 1434367	50.7
    55	 1434415	50.5
    56	 1434465	50.4
    57	 1434515	50.3
    58	 1434565	50.1
    59	 1434615	50.1
    60	 1434665	49.9
    61	 1434715	49.8
    62	 1434777	49.7
    63	 1434827	49.5
    64	 1434877	49.5
    65	 1434921	49.2
    66	 1434967	49.5
    67	 1435015	49.5
    68	 1435065	49.5
    69	 1435115	49.5
    70	 1435165	49.7
    71	 1435215	49.8
    72	 1435265	49.8
    73	 1435315	49.9
    74	 1435365	50.1
    75	 1435415	50.1
    76	 1435465	49.9
    77	 1435531	50.3
    78	 1435583	50.3
    79	 1435629	50.4
    80	 1435669	50.4
    81	 1435719	50.4
    82	 1435765	50.4
    83	 1435815	50.3
    84	 1435865	50.3
    85	 1435915	50.3
    86	 1435965	49.9
    87	 1436015	50.1
    88	 1436065	50.1
    89	 1436115	50.1
    90	 1436165	50.1
    91	 1436215	50.1
    92	 1436277	50.1
    93	 1436327	50.1
    94	 1436371	49.9
    95	 1436421	50.1
    96	 1436477	50.1
    97	 1436521	50.1
    98	 1436567	50.1
    99	 1436615	50.1
   100	 1436665	50.1
   101	 1436715	50.1
   102	 1436765	49.9
   103	 1436815	50.1
   104	 1436869	50.1
   105	 1436915	50.1
   106	 1436965	50.3
   107	 1437015	50.3
   108	 1437065	50.3
   109	 1437115	50.3
   110	 1437175	50.3
   111	 1437223	50.3
   112	 1437281	50.3
   113	 1437327	50.3
   114	 1437373	50.3
   115	 1437415	50.1
   116	 1437465	50.1
   117	 1437515	50.3
   118	 1437565	50.1
   119	 1437615	50.3
   120	 1437665	50.3
   121	 1437737	50.3
   122	 1437783	50.3
   123	 1437827	50.3
   124	 1437873	50.3
   125	 1437915	50.3
   126	 1437977	50.3
   127	 1438023	50.3
   128	 1438071	50.1
   129	 1438119	50.3
   130	 1438165	50.3
   131	 1438215	50.3
   132	 1438265	50.3
   133	 1438315	50.3
   134	 1438365	50.1
   135	 1438415	50.3
   136	 1438465	50.3
   137	 1438515	50.3
   138	 1438565	50.1
   139	 1438615	50.3
   140	 1438665	50.3
   141	 1438723	50.3
   142	 1438771	50.3
   143	 1438817	50.3
   144	 1438865	50.3
   145	 1438915	50.3
   146	 1438965	50.3
   147	 1439015	50.3
   148	 1439065	50.3
   149	 1439115	50.3
   150	 1439165	50.3
   151	 1439215	50.3
   152	 1439273	50.1
   153	 1439323	50.3
   154	 1439373	50.1
   155	 1439419	50.1
   156	 1439465	50.3
   157	 1439515	50.1
   158	 1439565	50.3
   159	 1439615	50.3
   160	 1439665	50.3
   161	 1439715	50.3
   162	 1439765	50.3
   163	 1439815	50.3
   164	 1439864	50.3
   165	 1439915	50.3
   166	 1439965	50.3
   167	 1440015	50.3
   168	 1440065	50.3
   169	 1440115	50.3
   170	 1440165	50.3
   171	 1440231	50.3
   172	 1440279	50.3
   173	 1440321	50.3
   174	 1440365	50.3
   175	 1440415	50.3
   176	 1440465	50.1
   177	 1440515	49.5
   178	 1440565	50.3
   179	 1440615	50.3
   180	 1440665	50.3
   181	 1440715	50.3
   182	 1440765	50.3
   183	 1440815	50.1
   184	 1440865	50.3
   185	 1440929	50.3
   186	 1440975	50.3
   187	 1441021	50.3
   188	 1441065	50.3
   189	 1441115	50.3
   190	 1441165	50.1
   191	 1441215	49.7
   192	 1441265	49.5
   193	 1441315	50.3
   194	 1441365	50.3
   195	 1441415	50.3
   196	 1441465	50.3
   197	 1441515	50.3
   198	 1441575	50.3
   199	 1441625	50.3
   200	 1441675	50.3
   201	 1441721	50.3
   202	 1441765	49.5
   203	 1441815	50.3
   204	 1441865	50.3
   205	 1441915	50.3
   206	 1441965	50.3
   207	 1442015	49.8
   208	 1442065	50.1
   209	 1442115	50.3
   210	 1442165	50.4
   211	 1442215	50.3
   212	 1442265	50.3
   213	 1442333	50.3
   214	 1442381	50.3
   215	 1442427	50.1
   216	 1442481	50.3
   217	 1442523	50.3
   218	 1442573	50.3
   219	 1442615	50.3
   220	 1442665	50.1
   221	 1442715	50.1
   222	 1442765	49.8
   223	 1442815	50.3
   224	 1442865	50.3
   225	 1442915	50.3
   226	 1442965	50.3
   227	 1443015	50.3
   228	 1443065	50.3
   229	 1443127	50.3
   230	 1443169	50.3
   231	 1443219	50.3
   232	 1443267	50.3
   233	 1443315	50.3
   234	 1443365	50.1
   235	 1443415	50.1
   236	 1443465	50.3
   237	 1443515	50.3
   238	 1443565	50.3
   239	 1443615	50.3
   240	 1443665	50.3
   241	 1443715	50.3
   242	 1443764	50.3
   243	 1443835	50.3
   244	 1443885	50.3
   245	 1443927	50.4
   246	 1443973	50.4
   247	 1444019	50.4
   248	 1444065	50.4
   249	 1444115	50.4
   250	 1444165	50.4
   251	 1444215	50.4
   252	 1444265	50.3
   253	 1444315	50.3
   254	 1444365	50.3
   255	 1444415	50.3
   256	 1444465	50.3
   257	 1444515	50.1
   258	 1444573	50.1
   259	 1444625	50.1
   260	 1444671	50.1
   261	 1444721	50.3
   262	 1444765	50.3
   263	 1444815	50.1
   264	 1444865	50.3
   265	 1444915	50.3
   266	 1444965	50.3
   267	 1445015	50.3
   268	 1445065	50.1
   269	 1445115	50.4
   270	 1445165	50.4
   271	 1445215	50.4
   272	 1445273	50.4
   273	 1445320	50.3
