Cycle	Time	FAM	HEX	ROX	CY5
     1	 2280612	426.0	506.0	333.0	1026.0
     2	 2401612	426.0	507.0	334.0	1030.0
     3	 2522620	425.0	504.0	331.0	1037.0
     4	 2642622	423.0	504.0	332.0	1036.0
     5	 2765612	421.0	500.0	331.0	1043.0
     6	 2886634	421.0	499.0	333.0	1046.0
     7	 3006612	424.0	498.0	333.0	1045.0
     8	 3130613	420.0	501.0	331.0	1052.0
     9	 3251612	419.0	499.0	334.0	1054.0
    10	 3372612	422.0	500.0	335.0	1055.0
    11	 3492633	422.0	500.0	338.0	1056.0
    12	 3615613	421.0	500.0	329.0	1057.0
    13	 3734624	423.0	498.0	335.0	1055.0
    14	 3860626	423.0	500.0	338.0	1057.0
    15	 3981620	422.0	498.0	332.0	1057.0
    16	 4103612	425.0	498.0	333.0	1061.0
    17	 4223612	422.0	497.0	337.0	1060.0
    18	 4346613	422.0	500.0	337.0	1061.0
    19	 4465612	421.0	501.0	338.0	1061.0
    20	 4588612	422.0	496.0	337.0	1065.0
    21	 4710612	422.0	500.0	335.0	1068.0
    22	 4829612	422.0	501.0	338.0	1067.0
    23	 4965613	428.0	504.0	339.0	1070.0
    24	 5084612	426.0	503.0	334.0	1068.0
    25	 5204613	426.0	505.0	336.0	1070.0
    26	 5323613	426.0	526.0	337.0	1072.0
    27	 5442613	429.0	550.0	336.0	1076.0
    28	 5561624	427.0	586.0	337.0	1086.0
    29	 5679612	434.0	643.0	335.0	1100.0
    30	 5817612	440.0	696.0	333.0	1122.0
    31	 5943618	451.0	760.0	336.0	1155.0
    32	 6065612	464.0	820.0	335.0	1197.0
    33	 6186612	484.0	881.0	335.0	1237.0
    34	 6305612	507.0	936.0	336.0	1276.0
    35	 6429612	524.0	980.0	335.0	1307.0
    36	 6547624	553.0	1016.0	331.0	1338.0
    37	 6684612	582.0	1046.0	331.0	1346.0
    38	 6809627	609.0	1079.0	334.0	1377.0
    39	 6927622	645.0	1111.0	334.0	1397.0
    40	 7053612	678.0	1143.0	333.0	1415.0
    41	 7173612	715.0	1172.0	335.0	1429.0
    42	 7295612	754.0	1202.0	334.0	1449.0
    43	 7432612	784.0	1220.0	335.0	1451.0
    44	 7554612	824.0	1242.0	334.0	1468.0
    45	 7680612	863.0	1262.0	335.0	1478.0
