Cycle	Time	FAM	HEX	ROX	CY5
     1	 2278857	406.0	473.0	326.0	983.0
     2	 2397842	406.0	470.0	326.0	989.0
     3	 2519843	405.0	470.0	325.0	984.0
     4	 2638842	403.0	468.0	326.0	984.0
     5	 2762843	403.0	467.0	322.0	987.0
     6	 2880842	401.0	465.0	326.0	986.0
     7	 3004842	401.0	464.0	325.0	987.0
     8	 3126842	398.0	464.0	322.0	993.0
     9	 3248848	399.0	465.0	324.0	992.0
    10	 3369854	399.0	464.0	323.0	993.0
    11	 3491842	398.0	462.0	324.0	995.0
    12	 3610850	400.0	464.0	325.0	992.0
    13	 3733842	402.0	460.0	324.0	999.0
    14	 3852842	399.0	461.0	323.0	997.0
    15	 3971846	396.0	465.0	323.0	997.0
    16	 4089867	396.0	461.0	323.0	1000.0
    17	 4212842	395.0	461.0	319.0	995.0
    18	 4334842	396.0	461.0	322.0	997.0
    19	 4452842	397.0	459.0	319.0	995.0
    20	 4583842	396.0	462.0	318.0	998.0
    21	 4710842	397.0	459.0	322.0	1000.0
    22	 4828842	395.0	458.0	318.0	1004.0
    23	 4949843	394.0	460.0	319.0	1002.0
    24	 5067843	396.0	463.0	318.0	1006.0
    25	 5185842	389.0	459.0	321.0	1006.0
    26	 5306842	390.0	457.0	317.0	1006.0
    27	 5424862	389.0	456.0	320.0	1010.0
    28	 5546844	388.0	455.0	317.0	1013.0
    29	 5667842	388.0	454.0	314.0	1016.0
    30	 5784842	388.0	450.0	314.0	1027.0
    31	 5903842	388.0	450.0	314.0	1038.0
    32	 6022842	389.0	451.0	314.0	1059.0
    33	 6158856	396.0	449.0	310.0	1083.0
    34	 6283842	406.0	457.0	312.0	1114.0
    35	 6408842	426.0	467.0	313.0	1146.0
    36	 6525842	457.0	481.0	313.0	1177.0
    37	 6642842	496.0	500.0	311.0	1210.0
    38	 6764842	542.0	527.0	309.0	1242.0
    39	 6882846	596.0	554.0	307.0	1270.0
    40	 7000842	646.0	583.0	313.0	1294.0
    41	 7121842	697.0	609.0	310.0	1311.0
    42	 7243842	746.0	639.0	309.0	1329.0
    43	 7361842	789.0	666.0	307.0	1336.0
    44	 7478842	835.0	695.0	309.0	1348.0
    45	 7596842	875.0	721.0	306.0	1356.0
