Number	Time	Temperature
     1	    9188	60.0
     2	    9238	60.0
     3	    9288	0.0
     4	    9338	0.0
     5	    9387	0.0
     6	    9438	0.0
     7	    9488	0.0
     8	    9538	0.0
     9	    9588	0.0
    10	    9638	0.0
    11	    9688	0.0
    12	    9737	0.0
    13	    9788	0.0
    14	    9838	0.0
    15	    9888	0.0
    16	    9938	0.0
    17	    9988	0.0
    18	   10038	0.0
    19	   10085	0.0
    20	   10135	0.0
    21	   10187	0.0
    22	   10237	0.0
    23	   10287	0.0
    24	   10337	0.0
    25	   10387	0.0
    26	   10438	0.0
    27	   10487	0.0
    28	   10537	0.0
    29	   10587	0.0
    30	   10638	0.0
    31	   10688	0.0
    32	   10738	0.0
    33	   10788	0.0
    34	   10838	0.0
    35	   10888	0.0
    36	   10938	0.0
    37	   10988	0.0
    38	   11038	0.0
    39	   11088	0.0
    40	   11138	0.0
    41	   11188	0.0
    42	   11238	0.0
    43	   11288	0.0
    44	   11338	0.0
    45	   11388	0.0
    46	   11438	0.0
    47	   11488	0.0
    48	   11538	0.0
    49	   11588	0.0
    50	   11638	0.0
    51	   11688	0.0
    52	   11738	0.0
    53	   11788	0.0
    54	   11838	0.0
    55	   11888	0.0
    56	   11938	0.0
    57	   11988	0.0
    58	   12038	0.0
    59	   12088	0.0
    60	   12138	0.0
    61	   12188	0.0
    62	   12238	0.0
    63	   12288	0.0
    64	   12338	0.0
    65	   12388	0.0
    66	   12438	0.0
    67	   12488	0.0
    68	   12538	0.0
    69	   12588	0.0
    70	   12638	0.0
    71	   12688	0.0
    72	   12738	0.0
    73	   12788	0.0
    74	   12838	0.0
    75	   12888	0.0
    76	   12938	0.0
    77	   12988	0.0
    78	   13037	0.0
    79	   13088	0.0
    80	   13138	0.0
    81	   13188	0.0
    82	   13238	0.0
    83	   13288	0.0
    84	   13338	0.0
    85	   13388	0.0
    86	   13438	0.0
    87	   13488	0.0
    88	   13538	0.0
    89	   13588	0.0
    90	   13638	39.5
    91	   13688	39.5
    92	   13738	39.5
    93	   13788	39.6
    94	   13838	39.9
    95	   13888	40.2
    96	   13938	40.4
    97	   13988	40.9
    98	   14038	41.6
    99	   14088	42.1
   100	   14138	42.8
   101	   14188	43.6
   102	   14238	44.2
   103	   14288	44.9
   104	   14337	45.7
   105	   14388	46.4
   106	   14438	47.7
   107	   14488	48.5
   108	   14538	49.1
   109	   14588	49.9
   110	   14638	50.4
   111	   14688	51.1
   112	   14738	51.6
   113	   14788	52.1
   114	   14838	52.5
   115	   14888	52.6
   116	   14938	52.7
   117	   14988	52.9
   118	   15038	52.9
   119	   15088	52.6
   120	   15140	52.5
   121	   15188	52.3
   122	   15238	52.1
   123	   15288	51.6
   124	   15338	51.5
   125	   15388	51.1
   126	   15438	50.8
   127	   15488	50.5
   128	   15538	50.3
   129	   15588	50.1
   130	   15638	49.8
   131	   15688	49.5
   132	   15738	49.4
   133	   15788	49.2
   134	   15837	49.2
   135	   15888	49.4
   136	   15938	49.4
   137	   15988	49.7
   138	   16038	49.8
   139	   16088	49.9
   140	   16140	50.1
   141	   16188	50.4
   142	   16238	50.5
   143	   16288	51.0
   144	   16338	51.1
   145	   16388	51.2
   146	   16438	51.2
   147	   16488	51.2
   148	   16538	51.1
   149	   16588	51.0
   150	   16638	51.0
   151	   16688	50.8
   152	   16738	50.5
   153	   16788	50.4
   154	   16838	50.3
   155	   16888	50.1
   156	   16938	49.9
   157	   16988	49.8
   158	   17038	49.8
   159	   17088	49.8
   160	   17140	49.7
   161	   17188	49.8
   162	   17238	49.9
   163	   17288	50.1
   164	   17338	50.1
   165	   17388	50.3
   166	   17438	50.4
   167	   17488	50.5
   168	   17538	50.7
   169	   17588	50.8
   170	   17638	50.8
   171	   17688	50.8
   172	   17738	50.8
   173	   17788	50.7
   174	   17838	50.5
   175	   17888	50.5
   176	   17938	50.4
   177	   17988	50.3
   178	   18038	50.1
   179	   18088	49.7
   180	   18140	50.1
   181	   18188	49.9
   182	   18238	49.9
   183	   18288	49.9
   184	   18338	49.9
   185	   18388	49.9
   186	   18438	50.1
   187	   18488	50.1
   188	   18538	50.3
   189	   18588	50.4
   190	   18638	50.4
   191	   18688	50.5
   192	   18738	50.7
   193	   18788	50.7
   194	   18838	50.7
   195	   18888	50.7
   196	   18938	50.7
   197	   18988	49.5
   198	   19038	50.5
   199	   19088	50.4
   200	   19138	50.3
   201	   19188	50.3
   202	   19238	50.3
   203	   19288	50.1
   204	   19338	50.1
   205	   19388	50.1
   206	   19438	50.1
   207	   19488	50.1
   208	   19538	50.1
   209	   19588	50.1
   210	   19638	50.1
   211	   19688	50.1
   212	   19738	50.3
   213	   19788	50.3
   214	   19838	50.4
   215	   19888	50.4
   216	   19938	50.5
   217	   19988	50.5
   218	   20038	50.5
   219	   20088	50.5
   220	   20140	50.5
   221	   20188	50.5
   222	   20238	50.4
   223	   20288	50.4
   224	   20338	50.3
   225	   20388	50.3
   226	   20438	50.3
   227	   20488	50.1
   228	   20538	50.1
   229	   20588	50.1
   230	   20638	50.1
   231	   20688	50.1
   232	   20738	50.1
   233	   20788	50.1
   234	   20838	50.1
   235	   20888	50.3
