 Cycle    Time         FAM        HEX  ROX        CY5
     1  840136  447.772727 424.863636  0.0 222.227273
     2  947136  446.181818 424.836364  0.0 223.145455
     3 1054136  444.590909 424.809091  0.0 224.063636
     4 1161136  443.000000 424.781818  0.0 224.981818
     5 1268136  441.409091 424.754545  0.0 225.900000
     6 1375136  439.818182 424.727273  0.0 226.818182
     7 1482137  438.818182 423.363636  0.0 226.636364
     8 1589136  438.636364 423.090909  0.0 227.909091
     9 1696136  438.727273 423.636364  0.0 228.636364
    10 1803136  437.636364 423.818182  0.0 228.727273
    11 1911136  437.454545 424.727273  0.0 229.545455
    12 2019137  437.545455 422.909091  0.0 227.727273
    13 2127137  438.090909 422.727273  0.0 228.000000
    14 2235136  438.272727 423.363636  0.0 228.545455
    15 2343136  438.454545 422.818182  0.0 229.727273
    16 2451137  437.818182 420.909091  0.0 229.727273
    17 2559136  438.363636 421.272727  0.0 229.818182
    18 2667136  437.363636 420.636364  0.0 229.727273
    19 2775137  437.454545 420.363636  0.0 231.181818
    20 2883136  437.272727 420.454545  0.0 231.090909
    21 2991136  438.545455 420.727273  0.0 233.363636
    22 3099136  437.181818 421.181818  0.0 234.000000
    23 3208136  437.090909 422.727273  0.0 234.181818
    24 3317136  436.818182 423.181818  0.0 236.272727
    25 3426136  436.000000 423.181818  0.0 238.909091
    26 3535136  436.818182 423.818182  0.0 240.727273
    27 3644136  439.363636 426.727273  0.0 245.727273
    28 3753136  440.454545 428.727273  0.0 252.727273
    29 3862136  443.363636 433.727273  0.0 262.454545
    30 3971137  451.272727 442.818182  0.0 273.363636
    31 4080136  460.727273 452.636364  0.0 285.545455
    32 4189136  475.090909 464.636364  0.0 299.090909
    33 4298136  496.636364 478.545455  0.0 316.181818
    34 4407136  521.363636 496.909091  0.0 335.636364
    35 4516137  553.000000 518.272727  0.0 354.818182
    36 4625136  590.090909 542.636364  0.0 373.727273
    37 4734136  631.000000 570.272727  0.0 393.818182
    38 4843137  676.636364 595.818182  0.0 411.727273
    39 4952136  728.909091 625.090909  0.0 427.363636
    40 5062136  786.181818 654.818182  0.0 441.454545
    41 5172136  844.263636 683.790909  0.0 454.945455
    42 5282136  902.345455 712.763636  0.0 468.436364
    43 5392138  960.427273 741.736364  0.0 481.927273
    44 5502136 1018.509091 770.709091  0.0 495.418182
    45 5612136 1076.590909 799.681818  0.0 508.909091
