 Cycle    Time        FAM        HEX  ROX         CY5
     1  841361 454.590909 406.500000  0.0  366.500000
     2  949360 455.236364 408.345455  0.0  368.327273
     3 1058361 455.881818 410.190909  0.0  370.154545
     4 1167361 456.527273 412.036364  0.0  371.981818
     5 1276360 457.172727 413.881818  0.0  373.809091
     6 1384360 457.818182 415.727273  0.0  375.636364
     7 1492360 456.000000 416.454545  0.0  376.909091
     8 1600360 456.545455 416.818182  0.0  376.363636
     9 1708360 456.272727 418.181818  0.0  378.454545
    10 1816360 457.363636 415.272727  0.0  379.818182
    11 1925360 457.181818 415.272727  0.0  378.363636
    12 2034360 456.545455 413.181818  0.0  378.818182
    13 2143360 457.090909 414.363636  0.0  377.818182
    14 2252360 456.090909 413.727273  0.0  377.909091
    15 2361359 455.636364 412.272727  0.0  379.454545
    16 2470360 453.636364 411.727273  0.0  378.727273
    17 2579360 452.363636 412.363636  0.0  377.454545
    18 2688360 452.727273 413.272727  0.0  376.818182
    19 2797359 452.909091 413.363636  0.0  377.636364
    20 2906360 453.272727 413.636364  0.0  377.818182
    21 3015360 452.727273 413.636364  0.0  378.636364
    22 3124360 452.636364 413.454545  0.0  380.363636
    23 3232360 455.272727 413.454545  0.0  382.272727
    24 3341360 456.545455 412.090909  0.0  383.636364
    25 3449360 459.000000 412.818182  0.0  385.727273
    26 3557359 457.909091 411.818182  0.0  387.272727
    27 3665360 459.363636 411.272727  0.0  396.363636
    28 3774360 463.090909 411.545455  0.0  409.909091
    29 3883360 465.454545 411.909091  0.0  430.181818
    30 3992360 467.545455 416.454545  0.0  455.090909
    31 4101360 471.181818 424.181818  0.0  485.272727
    32 4210360 477.000000 437.090909  0.0  520.909091
    33 4319359 483.909091 451.818182  0.0  562.090909
    34 4427360 491.454545 469.000000  0.0  605.363636
    35 4535360 500.636364 489.727273  0.0  652.545455
    36 4643360 512.636364 512.272727  0.0  699.818182
    37 4751360 531.000000 539.363636  0.0  749.363636
    38 4860360 551.818182 567.272727  0.0  795.636364
    39 4969360 574.909091 598.090909  0.0  836.727273
    40 5078360 602.181818 633.090909  0.0  873.181818
    41 5187359 632.154545 666.527273  0.0  906.163636
    42 5296360 662.127273 699.963636  0.0  939.145455
    43 5405360 692.100000 733.400000  0.0  972.127273
    44 5513360 722.072727 766.836364  0.0 1005.109091
    45 5622360 752.045455 800.272727  0.0 1038.090909
