Cycle	Time	FAM	HEX	ROX	CY5
     1	 2273978	340.0	436.0	272.0	270.0
     2	 2382978	345.0	430.0	269.0	288.0
     3	 2491978	343.0	438.0	265.0	274.0
     4	 2600984	333.0	440.0	274.0	275.0
     5	 2709978	339.0	433.0	263.0	263.0
     6	 2818978	346.0	437.0	264.0	283.0
     7	 2927978	337.0	432.0	273.0	259.0
     8	 3036978	339.0	425.0	268.0	274.0
     9	 3145978	338.0	413.0	264.0	267.0
    10	 3254978	332.0	412.0	258.0	270.0
    11	 3363978	345.0	417.0	267.0	274.0
    12	 3472978	340.0	415.0	258.0	266.0
    13	 3581978	337.0	408.0	257.0	274.0
    14	 3690979	335.0	418.0	253.0	277.0
    15	 3800984	336.0	409.0	257.0	280.0
    16	 3910978	335.0	422.0	249.0	284.0
    17	 4019978	338.0	421.0	259.0	277.0
    18	 4128979	337.0	421.0	263.0	263.0
    19	 4236978	349.0	413.0	273.0	272.0
    20	 4345978	342.0	417.0	254.0	274.0
    21	 4454978	341.0	428.0	257.0	269.0
    22	 4563986	334.0	432.0	260.0	291.0
    23	 4672978	354.0	432.0	256.0	273.0
    24	 4781978	349.0	406.0	249.0	279.0
    25	 4890978	350.0	407.0	261.0	284.0
    26	 4999978	329.0	408.0	259.0	294.0
    27	 5108979	343.0	409.0	255.0	273.0
    28	 5217978	339.0	408.0	242.0	266.0
    29	 5325979	343.0	417.0	266.0	288.0
    30	 5434984	326.0	410.0	263.0	286.0
    31	 5543978	335.0	413.0	252.0	298.0
    32	 5651978	329.0	401.0	248.0	319.0
    33	 5759978	347.0	400.0	254.0	355.0
    34	 5867978	337.0	412.0	262.0	394.0
    35	 5976978	345.0	405.0	241.0	448.0
    36	 6084978	349.0	405.0	246.0	481.0
    37	 6192978	372.0	401.0	240.0	510.0
    38	 6300978	375.0	418.0	254.0	564.0
    39	 6408978	388.0	391.0	254.0	561.0
    40	 6516978	388.0	408.0	251.0	595.0
    41	 6624978	395.0	412.0	255.0	607.0
    42	 6732978	426.0	399.0	235.0	605.0
    43	 6841979	426.0	395.0	235.0	614.0
    44	 6950978	447.0	392.0	258.0	621.0
    45	 7058978	447.0	402.0	260.0	642.0
