 Cycle    Time        FAM        HEX        ROX        CY5
     1 2273978 341.181818 440.863636 270.363636 276.045455
     2 2382978 340.890909 438.381818 269.690909 275.327273
     3 2491978 340.600000 435.900000 269.018182 274.609091
     4 2600984 340.309091 433.418182 268.345455 273.890909
     5 2709978 340.018182 430.936364 267.672727 273.172727
     6 2818978 339.727273 428.454545 267.000000 272.454545
     7 2927978 339.727273 426.545455 265.727273 272.090909
     8 3036978 339.000000 424.545455 264.636364 270.818182
     9 3145978 338.272727 422.727273 263.545455 271.090909
    10 3254978 338.545455 419.909091 262.000000 271.545455
    11 3363978 338.181818 418.909091 260.727273 273.454545
    12 3472978 337.454545 417.454545 260.272727 272.909091
    13 3581978 337.454545 416.454545 259.363636 273.272727
    14 3690979 338.363636 415.363636 259.818182 273.090909
    15 3800984 338.727273 415.727273 258.909091 273.727273
    16 3910978 339.545455 417.181818 258.818182 273.636364
    17 4019978 338.545455 418.545455 258.181818 275.181818
    18 4128979 339.818182 420.090909 258.000000 275.818182
    19 4236978 340.909091 419.909091 257.272727 276.272727
    20 4345978 342.272727 418.909091 258.000000 276.909091
    21 4454978 341.636364 418.818182 258.181818 278.181818
    22 4563986 342.363636 417.636364 258.727273 277.181818
    23 4672978 342.454545 416.454545 257.181818 276.181818
    24 4781978 343.000000 416.090909 257.454545 278.454545
    25 4890978 340.909091 415.818182 256.545455 279.727273
    26 4999978 340.272727 415.454545 256.363636 281.909091
    27 5108979 339.181818 413.000000 255.545455 286.454545
    28 5217978 340.363636 410.090909 255.000000 292.272727
    29 5325979 338.818182 408.272727 255.545455 303.272727
    30 5434984 338.454545 408.181818 254.818182 318.636364
    31 5543978 338.363636 408.000000 253.454545 336.545455
    32 5651978 342.272727 407.363636 251.727273 356.181818
    33 5759978 345.181818 408.181818 251.636364 382.636364
    34 5867978 349.636364 406.636364 252.727273 409.454545
    35 5976978 353.727273 405.818182 251.363636 437.363636
    36 6084978 360.000000 406.000000 250.636364 466.545455
    37 6192978 368.272727 404.727273 249.090909 494.454545
    38 6300978 377.090909 404.181818 247.909091 521.272727
    39 6408978 386.181818 403.454545 248.272727 545.454545
    40 6516978 396.181818 402.545455 248.090909 568.000000
    41 6624978 406.845455 401.618182 248.918182 585.909091
    42 6732978 417.509091 400.690909 249.745455 603.818182
    43 6841979 428.172727 399.763636 250.572727 621.727273
    44 6950978 438.836364 398.836364 251.400000 639.636364
    45 7058978 449.500000 397.909091 252.227273 657.545455
