Number	Time	Temperature
     1	 1431991	29.7
     2	 1432041	28.9
     3	 1432091	28.8
     4	 1432141	28.8
     5	 1432191	29.1
     6	 1432241	29.5
     7	 1432291	30.6
     8	 1432341	31.0
     9	 1432391	31.7
    10	 1432451	32.2
    11	 1432499	33.0
    12	 1432545	34.0
    13	 1432593	34.8
    14	 1432641	35.4
    15	 1432691	36.3
    16	 1432741	37.2
    17	 1432791	37.9
    18	 1432841	38.7
    19	 1432891	40.4
    20	 1432940	41.0
    21	 1432991	41.6
    22	 1433041	42.4
    23	 1433091	43.0
    24	 1433141	43.8
    25	 1433191	44.4
    26	 1433241	45.1
    27	 1433291	45.8
    28	 1433341	46.4
    29	 1433403	46.9
    30	 1433449	48.3
    31	 1433499	48.7
    32	 1433545	49.4
    33	 1433591	49.9
    34	 1433641	50.3
    35	 1433691	50.7
    36	 1433741	51.2
    37	 1433791	51.5
    38	 1433841	51.8
    39	 1433891	51.8
    40	 1433941	51.8
    41	 1433991	51.8
    42	 1434041	51.6
    43	 1434091	51.2
    44	 1434141	51.1
    45	 1434191	50.8
    46	 1434245	50.5
    47	 1434291	50.3
    48	 1434351	50.1
    49	 1434391	49.7
    50	 1434441	49.5
    51	 1434491	49.4
    52	 1434541	49.1
    53	 1434591	49.1
    54	 1434641	49.1
    55	 1434691	49.1
    56	 1434741	49.5
    57	 1434791	49.7
    58	 1434841	49.8
    59	 1434901	50.1
    60	 1434949	50.1
    61	 1434999	50.5
    62	 1435043	50.7
    63	 1435091	51.0
    64	 1435141	51.0
    65	 1435191	51.1
    66	 1435241	51.0
    67	 1435291	51.0
    68	 1435341	50.8
    69	 1435391	50.7
    70	 1435441	50.5
    71	 1435491	50.4
    72	 1435541	50.3
    73	 1435591	50.1
    74	 1435641	49.9
    75	 1435691	49.9
    76	 1435741	49.8
    77	 1435791	49.8
    78	 1435841	49.7
    79	 1435891	49.8
    80	 1435941	49.7
    81	 1435991	49.9
    82	 1436041	50.1
    83	 1436091	50.1
    84	 1436141	50.3
    85	 1436191	50.4
    86	 1436241	50.5
    87	 1436301	50.5
    88	 1436341	50.7
    89	 1436391	50.8
    90	 1436441	50.7
    91	 1436491	50.8
    92	 1436541	50.7
    93	 1436591	50.7
    94	 1436641	50.5
    95	 1436691	50.4
    96	 1436741	50.3
    97	 1436791	50.1
    98	 1436841	50.1
    99	 1436893	50.1
   100	 1436941	50.1
   101	 1436995	49.9
   102	 1437041	50.1
   103	 1437099	49.8
   104	 1437145	50.1
   105	 1437191	50.1
   106	 1437241	50.1
   107	 1437291	50.1
   108	 1437341	50.1
   109	 1437391	50.3
   110	 1437441	50.4
   111	 1437491	50.4
   112	 1437541	50.5
   113	 1437591	50.5
   114	 1437641	50.5
   115	 1437699	50.5
   116	 1437745	50.4
   117	 1437801	50.4
   118	 1437841	50.4
   119	 1437891	50.4
   120	 1437941	50.3
   121	 1437991	50.3
   122	 1438041	50.3
   123	 1438091	50.1
   124	 1438143	50.1
   125	 1438191	50.1
   126	 1438241	50.1
   127	 1438291	50.1
   128	 1438341	50.1
   129	 1438391	50.1
   130	 1438441	50.3
   131	 1438491	50.3
   132	 1438541	50.4
   133	 1438591	50.3
   134	 1438641	50.4
   135	 1438691	50.3
   136	 1438741	50.5
   137	 1438791	50.4
   138	 1438847	50.5
   139	 1438893	50.5
   140	 1438941	50.4
   141	 1439003	50.4
   142	 1439049	50.3
   143	 1439099	50.3
   144	 1439149	50.3
   145	 1439193	50.3
   146	 1439241	50.4
   147	 1439291	50.3
   148	 1439341	50.3
   149	 1439391	50.1
   150	 1439441	50.1
   151	 1439491	50.1
   152	 1439541	50.1
   153	 1439591	50.1
   154	 1439641	50.4
   155	 1439691	50.4
   156	 1439751	50.4
   157	 1439799	50.5
   158	 1439845	50.4
   159	 1439899	50.4
   160	 1439941	50.4
   161	 1440001	50.4
   162	 1440047	50.4
   163	 1440091	50.4
   164	 1440141	50.3
   165	 1440197	50.3
   166	 1440245	50.3
   167	 1440291	50.4
   168	 1440341	50.1
   169	 1440391	50.1
   170	 1440441	50.1
   171	 1440491	50.1
   172	 1440541	50.1
   173	 1440591	50.3
   174	 1440641	50.3
   175	 1440691	50.3
   176	 1440741	50.3
   177	 1440805	50.4
   178	 1440851	50.5
   179	 1440899	50.4
   180	 1440949	50.5
   181	 1440995	50.5
   182	 1441047	50.7
   183	 1441095	50.4
   184	 1441141	50.5
   185	 1441191	50.5
   186	 1441249	50.4
   187	 1441301	50.4
   188	 1441349	50.3
   189	 1441399	50.3
   190	 1441449	50.3
   191	 1441495	50.3
   192	 1441541	50.3
   193	 1441601	50.3
   194	 1441647	49.9
   195	 1441691	50.1
   196	 1441741	50.1
   197	 1441791	50.1
   198	 1441841	50.1
   199	 1441891	50.1
   200	 1441941	50.3
   201	 1441991	50.3
   202	 1442041	50.3
   203	 1442091	50.4
   204	 1442141	50.3
   205	 1442191	50.4
   206	 1442241	50.4
   207	 1442301	50.4
   208	 1442347	50.4
   209	 1442391	50.4
   210	 1442441	50.3
   211	 1442491	50.3
   212	 1442541	50.3
   213	 1442591	50.3
   214	 1442641	50.1
   215	 1442693	50.3
   216	 1442741	50.1
   217	 1442791	50.3
   218	 1442841	50.1
   219	 1442893	50.1
   220	 1442941	50.1
   221	 1442991	50.3
   222	 1443041	50.1
   223	 1443099	50.3
   224	 1443141	50.4
   225	 1443191	50.3
   226	 1443247	50.4
   227	 1443297	50.5
   228	 1443345	50.5
   229	 1443393	50.4
   230	 1443441	50.4
   231	 1443491	50.4
   232	 1443555	50.4
   233	 1443599	50.3
   234	 1443647	50.3
   235	 1443697	50.3
   236	 1443741	50.1
   237	 1443791	50.1
   238	 1443841	50.1
   239	 1443891	50.1
   240	 1443941	50.1
   241	 1443991	50.1
   242	 1444041	50.1
   243	 1444091	50.3
   244	 1444142	50.3
   245	 1444201	50.3
   246	 1444253	50.4
   247	 1444299	50.3
   248	 1444347	50.3
   249	 1444397	50.4
   250	 1444447	50.4
   251	 1444491	50.5
   252	 1444541	50.4
   253	 1444601	50.5
   254	 1444643	50.4
   255	 1444691	50.3
   256	 1444741	50.4
   257	 1444803	50.3
   258	 1444849	49.9
   259	 1444895	50.3
   260	 1444945	50.3
   261	 1444999	50.1
   262	 1445045	50.1
   263	 1445095	50.1
   264	 1445149	50.3
   265	 1445195	50.1
   266	 1445241	50.1
   267	 1445293	50.1
   268	 1445341	50.3
   269	 1445391	50.4
   270	 1445441	50.4
   271	 1445491	50.3
   272	 1445541	50.3
   273	 1445591	50.3
   274	 1445641	50.4
   275	 1445691	50.5
   276	 1445747	50.3
   277	 1445801	50.3
   278	 1445897	50.3
   279	 1445941	50.1
   280	 1445991	50.1
   281	 1446041	50.1
   282	 1446091	50.1
   283	 1446141	50.1
   284	 1446191	50.1
   285	 1446241	50.1
   286	 1446291	50.1
   287	 1446341	50.1
   288	 1446391	50.1
   289	 1446451	50.1
   290	 1446497	50.1
   291	 1446544	50.1
   292	 1446593	50.3
   293	 1446641	50.3
   294	 1446691	50.1
   295	 1446745	50.3
   296	 1446791	50.4
   297	 1446841	50.3
   298	 1446891	50.3
   299	 1446941	50.4
   300	 1446991	50.4
   301	 1447041	50.3
   302	 1447091	50.4
   303	 1447141	50.3
   304	 1447191	50.1
   305	 1447241	50.3
   306	 1447301	50.3
   307	 1447347	50.1
   308	 1447393	50.3
   309	 1447441	50.3
   310	 1447491	50.3
   311	 1447541	50.4
   312	 1447593	50.3
   313	 1447641	50.4
   314	 1447691	50.4
   315	 1447741	50.3
   316	 1447791	50.3
   317	 1447841	50.3
   318	 1447893	50.3
   319	 1447941	50.1
   320	 1447991	50.3
   321	 1448041	50.3
   322	 1448091	50.1
   323	 1448141	50.1
   324	 1448192	50.1
   325	 1448251	50.1
   326	 1448299	50.1
   327	 1448347	50.1
   328	 1448399	50.1
   329	 1448447	50.1
   330	 1448491	50.1
   331	 1448541	50.1
   332	 1448591	50.1
   333	 1448641	50.3
   334	 1448693	50.1
   335	 1448741	50.3
   336	 1448791	50.1
   337	 1448841	50.1
   338	 1448893	50.3
   339	 1448951	50.1
   340	 1448993	50.4
   341	 1449041	50.4
   342	 1449103	50.4
   343	 1449147	50.3
   344	 1449197	50.4
   345	 1449247	50.1
   346	 1449297	50.3
   347	 1449344	49.7
   348	 1449391	50.1
   349	 1449441	50.1
   350	 1449491	50.1
   351	 1449541	50.1
   352	 1449591	50.1
   353	 1449641	50.1
   354	 1449691	50.1
   355	 1449741	50.1
   356	 1449791	50.1
   357	 1449841	50.1
   358	 1449893	50.1
   359	 1449941	50.1
   360	 1449991	50.1
   361	 1450041	50.1
   362	 1450091	50.1
   363	 1450141	50.1
   364	 1450191	50.1
   365	 1450249	50.1
   366	 1450297	50.1
   367	 1450349	50.3
   368	 1450397	50.1
   369	 1450443	50.1
   370	 1450491	50.1
   371	 1450541	50.3
   372	 1450591	50.3
   373	 1450641	50.3
   374	 1450691	50.1
   375	 1450741	50.3
   376	 1450791	50.3
   377	 1450841	50.3
   378	 1450893	50.3
   379	 1450953	50.3
