Cycle	Time	FAM	HEX	ROX	CY5
     1	  857113	460.0	579.0	345.0	1021.0
     2	  973096	460.0	578.0	346.0	1027.0
     3	 1090096	462.0	576.0	345.0	1030.0
     4	 1206096	463.0	581.0	345.0	1035.0
     5	 1322096	464.0	576.0	345.0	1042.0
     6	 1438096	462.0	579.0	344.0	1042.0
     7	 1555096	463.0	582.0	347.0	1043.0
     8	 1671096	465.0	581.0	346.0	1043.0
     9	 1788096	465.0	582.0	345.0	1042.0
    10	 1904096	466.0	582.0	342.0	1044.0
    11	 2020096	466.0	586.0	344.0	1045.0
    12	 2136096	465.0	584.0	342.0	1049.0
    13	 2253096	463.0	585.0	344.0	1050.0
    14	 2369096	468.0	583.0	343.0	1049.0
    15	 2485111	466.0	587.0	343.0	1050.0
    16	 2601097	469.0	582.0	344.0	1053.0
    17	 2717105	466.0	583.0	343.0	1049.0
    18	 2834096	468.0	586.0	343.0	1051.0
    19	 2951101	468.0	588.0	343.0	1053.0
    20	 3068096	467.0	589.0	343.0	1053.0
    21	 3184096	467.0	588.0	341.0	1052.0
    22	 3300096	468.0	590.0	342.0	1052.0
    23	 3416105	469.0	595.0	340.0	1053.0
    24	 3532096	468.0	604.0	343.0	1055.0
    25	 3648106	468.0	622.0	341.0	1056.0
    26	 3784096	469.0	654.0	341.0	1057.0
    27	 3900096	469.0	705.0	343.0	1061.0
    28	 4016100	473.0	784.0	343.0	1065.0
    29	 4132096	474.0	873.0	344.0	1080.0
    30	 4249096	475.0	962.0	344.0	1098.0
    31	 4365096	483.0	1054.0	342.0	1122.0
    32	 4482105	486.0	1138.0	345.0	1156.0
    33	 4598096	487.0	1222.0	346.0	1196.0
    34	 4714108	490.0	1298.0	346.0	1236.0
    35	 4830096	497.0	1369.0	347.0	1280.0
    36	 4946096	504.0	1437.0	349.0	1323.0
    37	 5062096	509.0	1500.0	347.0	1365.0
    38	 5178096	517.0	1562.0	351.0	1407.0
    39	 5294096	525.0	1623.0	349.0	1446.0
    40	 5411096	534.0	1677.0	351.0	1483.0
    41	 5527117	545.0	1727.0	349.0	1521.0
    42	 5644107	553.0	1773.0	357.0	1552.0
    43	 5760096	565.0	1823.0	354.0	1585.0
    44	 5876096	577.0	1860.0	355.0	1614.0
    45	 5992096	590.0	1901.0	358.0	1644.0
