Cycle	Time	FAM	HEX	ROX	CY5
     1	  841361	471.0	404.0	0.0	366.0
     2	  949360	448.0	405.0	0.0	380.0
     3	 1058361	449.0	400.0	0.0	355.0
     4	 1167361	449.0	432.0	0.0	368.0
     5	 1276360	455.0	406.0	0.0	379.0
     6	 1384360	456.0	433.0	0.0	374.0
     7	 1492360	458.0	407.0	0.0	388.0
     8	 1600360	460.0	410.0	0.0	378.0
     9	 1708360	472.0	428.0	0.0	377.0
    10	 1816360	466.0	438.0	0.0	379.0
    11	 1925360	452.0	410.0	0.0	388.0
    12	 2034360	451.0	412.0	0.0	380.0
    13	 2143360	454.0	409.0	0.0	374.0
    14	 2252360	446.0	415.0	0.0	378.0
    15	 2361359	461.0	400.0	0.0	383.0
    16	 2470360	453.0	406.0	0.0	363.0
    17	 2579360	449.0	410.0	0.0	379.0
    18	 2688360	464.0	420.0	0.0	377.0
    19	 2797359	449.0	403.0	0.0	379.0
    20	 2906360	467.0	412.0	0.0	394.0
    21	 3015360	444.0	432.0	0.0	371.0
    22	 3124360	438.0	417.0	0.0	374.0
    23	 3232360	455.0	422.0	0.0	373.0
    24	 3341360	456.0	410.0	0.0	383.0
    25	 3449360	450.0	418.0	0.0	380.0
    26	 3557359	455.0	400.0	0.0	392.0
    27	 3665360	452.0	404.0	0.0	382.0
    28	 3774360	478.0	410.0	0.0	400.0
    29	 3883360	478.0	405.0	0.0	392.0
    30	 3992360	476.0	411.0	0.0	402.0
    31	 4101360	455.0	401.0	0.0	411.0
    32	 4210360	460.0	426.0	0.0	471.0
    33	 4319359	479.0	420.0	0.0	523.0
    34	 4427360	481.0	426.0	0.0	596.0
    35	 4535360	479.0	460.0	0.0	657.0
    36	 4643360	490.0	503.0	0.0	712.0
    37	 4751360	519.0	542.0	0.0	784.0
    38	 4860360	528.0	566.0	0.0	835.0
    39	 4969360	561.0	599.0	0.0	876.0
    40	 5078360	579.0	633.0	0.0	911.0
    41	 5187359	608.0	659.0	0.0	922.0
    42	 5296360	657.0	699.0	0.0	956.0
    43	 5405360	689.0	733.0	0.0	980.0
    44	 5513360	733.0	759.0	0.0	975.0
    45	 5622360	781.0	811.0	0.0	997.0
