Cycle	Time	FAM	HEX	ROX	CY5
     1	 2263136	509.0	532.0	908.0	678.0
     2	 2372135	510.0	533.0	908.0	679.0
     3	 2481142	509.0	533.0	904.0	680.0
     4	 2590143	506.0	528.0	906.0	678.0
     5	 2699135	507.0	531.0	908.0	680.0
     6	 2808145	503.0	526.0	914.0	683.0
     7	 2917135	503.0	534.0	914.0	683.0
     8	 3027139	508.0	531.0	919.0	685.0
     9	 3136143	507.0	533.0	905.0	668.0
    10	 3245138	497.0	528.0	923.0	687.0
    11	 3359138	506.0	532.0	924.0	688.0
    12	 3469135	483.0	534.0	928.0	687.0
    13	 3579135	505.0	532.0	933.0	689.0
    14	 3689135	502.0	530.0	933.0	687.0
    15	 3799135	500.0	537.0	937.0	688.0
    16	 3909142	506.0	534.0	939.0	688.0
    17	 4019135	495.0	530.0	938.0	692.0
    18	 4128135	502.0	529.0	942.0	691.0
    19	 4238135	505.0	537.0	945.0	692.0
    20	 4348136	486.0	537.0	945.0	694.0
    21	 4458135	508.0	536.0	947.0	696.0
    22	 4568135	501.0	536.0	953.0	695.0
    23	 4678135	506.0	539.0	955.0	696.0
    24	 4788143	507.0	540.0	955.0	698.0
    25	 4898135	508.0	542.0	959.0	698.0
    26	 5008135	509.0	538.0	954.0	701.0
    27	 5118135	510.0	523.0	962.0	701.0
    28	 5228135	512.0	543.0	962.0	707.0
    29	 5338141	511.0	544.0	964.0	713.0
    30	 5448151	515.0	545.0	964.0	724.0
    31	 5558135	515.0	546.0	957.0	751.0
    32	 5668135	515.0	544.0	957.0	780.0
    33	 5778135	512.0	546.0	960.0	828.0
    34	 5888135	494.0	548.0	961.0	885.0
    35	 5998135	514.0	548.0	962.0	954.0
    36	 6108135	516.0	548.0	966.0	1022.0
    37	 6218135	520.0	549.0	960.0	1086.0
    38	 6328135	517.0	548.0	965.0	1140.0
    39	 6438145	520.0	550.0	962.0	1212.0
    40	 6548149	520.0	548.0	959.0	1267.0
    41	 6658135	521.0	549.0	969.0	1318.0
    42	 6768135	519.0	548.0	969.0	1369.0
    43	 6878135	522.0	554.0	967.0	1412.0
    44	 6988142	524.0	552.0	972.0	1446.0
    45	 7098135	522.0	554.0	969.0	1475.0
