 Cycle    Time        FAM         HEX        ROX         CY5
     1 2280612 426.818182  507.538462 333.727273 1026.118881
     2 2401612 425.345455  505.469930 332.709091 1030.538462
     3 2522620 424.084848  503.697436 331.993939 1034.652681
     4 2642622 423.036364  502.220979 331.581818 1038.461538
     5 2765612 422.200000  501.040559 331.472727 1041.965035
     6 2886634 421.575758  500.156177 331.666667 1045.163170
     7 3006612 421.097902  499.331002 332.864802 1048.109557
     8 3130613 420.790210  499.375291 333.305361 1050.801865
     9 3251612 420.934732  499.186480 333.265734 1053.214452
    10 3372612 421.321678  499.701632 334.186480 1054.505828
    11 3492633 421.254079  499.787879 334.414918 1055.419580
    12 3615613 421.694639  499.699301 334.289044 1056.517483
    13 3734624 422.620047  498.890443 334.396270 1056.713287
    14 3860626 423.060606  498.587413 334.135198 1057.414918
    15 3981620 422.820513  498.745921 334.442890 1057.913753
    16 4103612 422.762238  498.419580 335.165501 1058.594406
    17 4223612 422.634033  498.289044 336.179487 1060.002331
    18 4346613 421.720280  498.291375 335.876457 1061.545455
    19 4465612 421.806527  498.629371 336.682984 1063.216783
    20 4588612 422.230769  499.398601 337.526807 1064.713287
    21 4710612 422.710956  498.552448 337.270396 1065.820513
    22 4829612 423.622378  498.046620 336.808858 1067.125874
    23 4965613 424.787879  498.526807 336.540793 1067.741259
    24 5084612 425.331002  501.491841 336.510490 1068.303030
    25 5204613 425.741259  511.212121 336.720280 1068.941725
    26 5323613 426.221445  527.869464 336.314685 1070.981352
    27 5442613 427.254079  555.118881 335.696970 1076.100233
    28 5561624 428.939394  592.986014 335.459207 1086.379953
    29 5679612 433.417249  641.489510 335.547786 1103.790210
    30 5817612 441.370629  698.069930 335.184149 1128.524476
    31 5943618 451.855478  758.428904 335.312354 1159.578089
    32 6065612 465.629371  820.060606 335.244755 1196.864802
    33 6186612 483.578089  877.766900 334.573427 1233.773893
    34 6305612 503.536131  929.153846 334.277389 1269.972028
    35 6429612 526.941725  975.156177 334.002331 1303.072261
    36 6547624 552.687646 1014.932401 333.158508 1331.867133
    37 6684612 580.769231 1050.149184 333.011655 1355.645688
    38 6809627 611.713287 1082.713287 332.848485 1377.769231
    39 6927622 644.219114 1113.177156 333.048951 1396.275058
    40 7053612 678.773893 1142.662005 333.552448 1413.461538
    41 7173612 713.405594 1170.359441 333.797203 1429.579021
    42 7295612 749.209790 1196.306294 334.076923 1444.004196
    43 7432612 786.186480 1220.502564 334.391608 1456.737063
    44 7554612 824.335664 1242.948252 334.741259 1467.777622
    45 7680612 863.657343 1263.643357 335.125874 1477.125874
