 Cycle    Time        FAM        HEX        ROX        CY5
     1 2266669 469.136364 448.409091 243.909091 821.636364
     2 2376664 470.636364 450.018182 244.745455 821.054545
     3 2486664 472.136364 451.627273 245.581818 820.472727
     4 2596664 473.636364 453.236364 246.418182 819.890909
     5 2706664 475.136364 454.845455 247.254545 819.309091
     6 2816673 476.636364 456.454545 248.090909 818.727273
     7 2926664 478.090909 458.090909 248.727273 818.000000
     8 3036664 479.454545 459.454545 249.454545 816.636364
     9 3146667 480.545455 460.727273 249.909091 814.909091
    10 3256664 481.181818 461.636364 250.636364 812.363636
    11 3366676 482.272727 462.454545 250.727273 809.363636
    12 3477665 483.272727 463.272727 251.000000 806.545455
    13 3588664 484.363636 464.181818 251.000000 803.818182
    14 3699665 485.363636 465.090909 251.090909 801.636364
    15 3810672 486.545455 466.272727 251.181818 799.727273
    16 3921664 487.090909 466.818182 251.090909 798.454545
    17 4032664 487.727273 467.090909 251.000000 797.545455
    18 4143664 488.909091 468.272727 251.000000 797.545455
    19 4254664 489.818182 469.090909 251.272727 798.000000
    20 4365664 490.909091 469.727273 251.454545 798.727273
    21 4476669 492.090909 470.636364 251.545455 800.545455
    22 4587664 493.000000 471.545455 251.636364 803.363636
    23 4698665 493.909091 472.545455 252.000000 806.272727
    24 4809669 494.818182 473.454545 252.181818 809.545455
    25 4920678 495.636364 474.545455 252.454545 813.090909
    26 5031673 496.363636 475.727273 252.545455 817.000000
    27 5142664 497.454545 478.000000 253.000000 821.181818
    28 5253664 498.545455 481.181818 253.363636 825.818182
    29 5364664 499.454545 484.818182 253.545455 831.090909
    30 5475664 500.818182 489.909091 253.545455 836.909091
    31 5586664 502.090909 496.000000 253.636364 843.727273
    32 5697664 503.545455 503.545455 253.818182 851.363636
    33 5808664 505.454545 512.636364 253.818182 859.181818
    34 5919665 507.272727 523.181818 253.636364 867.545455
    35 6030664 509.363636 534.909091 253.636364 875.545455
    36 6141677 511.636364 547.909091 253.272727 883.545455
    37 6252664 514.090909 561.909091 253.363636 891.727273
    38 6363664 516.545455 576.545455 253.181818 899.818182
    39 6474671 519.090909 592.000000 252.818182 907.909091
    40 6585664 521.636364 607.454545 252.636364 915.727273
    41 6696664 524.000000 623.300000 252.381818 922.627273
    42 6807664 526.363636 639.145455 252.127273 929.527273
    43 6918673 528.727273 654.990909 251.872727 936.427273
    44 7029671 531.090909 670.836364 251.618182 943.327273
    45 7140676 533.454545 686.681818 251.363636 950.227273
