Cycle	Time	FAM	HEX	ROX	CY5
     1	 2268829	305.0	439.0	224.0	697.0
     2	 2377829	307.0	440.0	225.0	696.0
     3	 2486839	307.0	437.0	225.0	700.0
     4	 2595828	309.0	439.0	221.0	698.0
     5	 2704829	307.0	445.0	227.0	706.0
     6	 2813835	304.0	442.0	224.0	699.0
     7	 2922828	304.0	440.0	223.0	706.0
     8	 3032829	304.0	438.0	222.0	707.0
     9	 3142840	302.0	442.0	221.0	706.0
    10	 3252829	304.0	439.0	223.0	707.0
    11	 3362830	304.0	440.0	224.0	708.0
    12	 3472834	302.0	440.0	220.0	706.0
    13	 3582828	303.0	439.0	223.0	707.0
    14	 3692829	302.0	442.0	222.0	708.0
    15	 3802829	307.0	441.0	222.0	709.0
    16	 3912831	304.0	440.0	221.0	709.0
    17	 4022828	300.0	438.0	223.0	711.0
    18	 4132829	302.0	439.0	222.0	710.0
    19	 4242829	303.0	443.0	222.0	712.0
    20	 4353838	306.0	439.0	222.0	711.0
    21	 4464829	301.0	436.0	221.0	710.0
    22	 4575828	303.0	439.0	222.0	712.0
    23	 4686828	302.0	446.0	220.0	713.0
    24	 4797828	301.0	453.0	222.0	712.0
    25	 4908830	302.0	465.0	225.0	708.0
    26	 5019832	304.0	494.0	222.0	713.0
    27	 5130833	305.0	537.0	224.0	718.0
    28	 5241828	306.0	605.0	223.0	725.0
    29	 5352828	309.0	675.0	222.0	737.0
    30	 5463828	321.0	746.0	223.0	758.0
    31	 5574828	331.0	817.0	227.0	788.0
    32	 5685829	345.0	885.0	224.0	827.0
    33	 5796828	360.0	949.0	227.0	861.0
    34	 5907829	374.0	1014.0	225.0	898.0
    35	 6018833	398.0	1072.0	224.0	938.0
    36	 6129828	421.0	1129.0	226.0	977.0
    37	 6240828	448.0	1182.0	224.0	1016.0
    38	 6351835	477.0	1231.0	229.0	1053.0
    39	 6462828	509.0	1274.0	227.0	1087.0
    40	 6573839	542.0	1316.0	224.0	1118.0
    41	 6684829	574.0	1352.0	224.0	1148.0
    42	 6795835	612.0	1387.0	224.0	1172.0
    43	 6907828	654.0	1416.0	224.0	1195.0
    44	 7018834	691.0	1445.0	226.0	1220.0
    45	 7129830	733.0	1467.0	228.0	1241.0
