 Cycle    Time         FAM         HEX         ROX         CY5
     1 2267770  522.832168  554.909091 1090.510490  685.930070
     2 2374778  519.615385  553.685315 1096.944056  684.496503
     3 2481772  517.680653  553.074592 1100.531469  683.981352
     4 2588770  516.768065  552.928904 1101.806527  684.106061
     5 2695770  516.617716  553.100233 1101.303030  684.592075
     6 2802780  516.969697  553.440559 1099.554779  685.160839
     7 2909771  517.606061  554.223776 1097.055944  684.685315
     8 3016770  517.790210  553.566434 1095.137529  684.571096
     9 3123771  518.202797  553.365967 1093.627040  683.904429
    10 3230783  517.778555  552.871795 1091.620047  683.757576
    11 3337771  516.331002  552.785548 1091.398601  683.365967
    12 3444771  515.317016  552.277389 1090.044289  682.344988
    13 3551773  514.645688  550.538462 1089.044289  681.461538
    14 3658770  514.144522  549.494172 1088.634033  681.375291
    15 3765770  513.713287  549.279720 1088.881119  681.396270
    16 3873778  513.128205  548.825175 1089.832168  681.456876
    17 3981770  513.079254  549.662005 1091.799534  681.419580
    18 4089779  513.107226  550.286713 1094.610723  682.372960
    19 4197770  513.550117  551.384615 1098.095571  684.293706
    20 4305771  513.251748  551.491841 1100.396270  685.114219
    21 4413783  512.599068  551.780886 1102.086247  685.228438
    22 4521770  511.685315  552.132867 1100.976690  684.456876
    23 4629777  511.284382  554.717949 1099.487179  683.780886
    24 4737782  511.461538  563.752914 1098.477855  683.372960
    25 4845771  512.675991  582.303030 1097.883450  683.305361
    26 4953770  514.477855  612.888112 1097.156177  684.909091
    27 5061770  517.531469  657.645688 1097.482517  688.568765
    28 5169770  522.995338  715.827506 1098.566434  696.920746
    29 5277770  531.689977  785.680653 1100.151515  710.811189
    30 5385770  544.419580  862.610723 1101.177156  730.317016
    31 5493770  561.899767  944.407925 1101.818182  757.454545
    32 5601770  585.284382 1026.983683 1101.997669  790.652681
    33 5709770  615.529138 1108.850816 1101.986014  829.016317
    34 5817783  651.738928 1187.398601 1101.279720  871.069930
    35 5925770  693.622378 1261.487179 1101.249417  914.032634
    36 6033773  740.440559 1331.181818 1100.249417  956.913753
    37 6141770  791.044289 1395.855478 1100.342657  997.354312
    38 6249782  846.428904 1457.000000 1100.713287 1036.058275
    39 6357770  906.881119 1514.132867 1100.510490 1070.680653
    40 6465770  972.620047 1568.298368 1100.212121 1107.638695
    41 6573772 1041.685315 1618.862471 1099.757576 1141.391608
    42 6681770 1112.926573 1665.372960 1098.621212 1172.269231
    43 6789770 1185.298368 1707.526807 1096.545455 1199.596737
    44 6897770 1257.755245 1745.020979 1093.272727 1222.699301
    45 7022770 1329.251748 1777.552448 1088.545455 1240.902098
