Number	Time	Temperature
     1	 1430904	60.0
     2	 1430952	60.0
     3	 1431000	34.3
     4	 1431048	34.5
     5	 1431098	34.1
     6	 1431146	34.5
     7	 1431194	34.6
     8	 1431244	34.8
     9	 1431294	35.1
    10	 1431344	35.3
    11	 1431394	35.8
    12	 1431444	36.3
    13	 1431494	36.9
    14	 1431544	37.2
    15	 1431594	37.6
    16	 1431650	38.5
    17	 1431702	39.3
    18	 1431750	39.8
    19	 1431796	40.4
    20	 1431844	40.7
    21	 1431894	41.2
    22	 1431944	41.8
    23	 1431994	42.4
    24	 1432044	42.8
    25	 1432094	43.3
    26	 1432144	43.8
    27	 1432194	44.2
    28	 1432244	44.6
    29	 1432314	45.5
    30	 1432360	46.1
    31	 1432406	46.5
    32	 1432450	46.8
    33	 1432496	47.1
    34	 1432548	47.6
    35	 1432594	48.0
    36	 1432644	48.4
    37	 1432694	48.7
    38	 1432744	49.1
    39	 1432794	49.4
    40	 1432844	49.8
    41	 1432894	50.3
    42	 1432944	50.1
    43	 1432994	50.8
    44	 1433044	51.0
    45	 1433103	51.0
    46	 1433152	51.1
    47	 1433200	51.1
    48	 1433246	51.1
    49	 1433296	51.0
    50	 1433344	50.8
    51	 1433394	50.7
    52	 1433444	50.5
    53	 1433494	50.1
    54	 1433544	50.1
    55	 1433594	49.4
    56	 1433644	49.8
    57	 1433694	49.7
    58	 1433744	49.5
    59	 1433794	49.5
    60	 1433844	49.4
    61	 1433894	49.4
    62	 1433944	48.8
    63	 1433994	49.5
    64	 1434054	49.7
    65	 1434104	49.7
    66	 1434158	49.9
    67	 1434200	49.9
    68	 1434246	50.1
    69	 1434294	50.3
    70	 1434344	50.3
    71	 1434394	50.4
    72	 1434444	50.4
    73	 1434498	50.5
    74	 1434544	50.5
    75	 1434594	50.5
    76	 1434644	50.5
    77	 1434694	50.5
    78	 1434744	50.4
    79	 1434794	50.4
    80	 1434856	50.4
    81	 1434906	50.3
    82	 1434954	50.3
    83	 1434996	50.3
    84	 1435044	50.1
    85	 1435094	50.1
    86	 1435144	50.1
    87	 1435194	50.1
    88	 1435244	50.1
    89	 1435294	50.1
    90	 1435344	50.1
    91	 1435394	50.1
    92	 1435444	50.1
    93	 1435494	50.1
    94	 1435544	50.1
    95	 1435604	50.1
    96	 1435650	50.1
    97	 1435700	50.1
    98	 1435744	50.1
    99	 1435796	50.3
   100	 1435850	50.3
   101	 1435894	50.3
   102	 1435944	50.3
   103	 1435994	50.4
   104	 1436044	50.4
   105	 1436094	50.4
   106	 1436144	50.4
   107	 1436194	50.4
   108	 1436244	50.4
   109	 1436310	50.3
   110	 1436356	50.3
   111	 1436404	50.3
   112	 1436460	50.3
   113	 1436494	50.1
   114	 1436544	50.1
   115	 1436594	50.1
   116	 1436644	50.3
   117	 1436700	50.1
   118	 1436768	50.3
   119	 1436806	50.3
   120	 1436852	49.8
   121	 1436898	50.3
   122	 1436944	50.3
   123	 1436994	50.3
   124	 1437044	50.4
   125	 1437094	50.1
   126	 1437144	50.3
   127	 1437194	50.4
   128	 1437244	50.3
   129	 1437308	50.4
   130	 1437356	50.3
   131	 1437418	50.4
   132	 1437450	50.3
   133	 1437494	50.3
   134	 1437544	50.3
   135	 1437598	50.3
   136	 1437644	50.3
   137	 1437694	50.3
   138	 1437744	50.3
   139	 1437794	50.3
   140	 1437844	50.3
   141	 1437894	50.3
   142	 1437944	50.3
   143	 1437994	50.3
   144	 1438044	50.3
   145	 1438102	50.3
   146	 1438150	50.3
   147	 1438200	50.3
   148	 1438252	50.1
   149	 1438319	50.3
   150	 1438356	50.3
   151	 1438394	50.4
   152	 1438444	50.3
   153	 1438494	50.4
   154	 1438544	50.4
   155	 1438594	50.4
   156	 1438644	50.3
   157	 1438698	50.3
   158	 1438744	49.9
   159	 1438806	50.4
   160	 1438844	50.4
   161	 1438894	50.3
   162	 1438944	50.4
   163	 1438994	50.3
   164	 1439044	50.3
   165	 1439094	50.3
   166	 1439152	50.3
   167	 1439194	50.1
   168	 1439244	50.3
   169	 1439294	50.3
   170	 1439358	50.3
   171	 1439400	50.3
   172	 1439446	50.1
   173	 1439494	50.3
   174	 1439544	50.3
   175	 1439594	50.3
   176	 1439644	50.3
   177	 1439694	49.7
   178	 1439762	50.3
   179	 1439806	49.2
   180	 1439852	50.3
   181	 1439902	50.4
   182	 1439944	50.4
   183	 1439996	49.9
   184	 1440044	50.3
   185	 1440094	50.3
   186	 1440144	50.3
   187	 1440194	50.3
   188	 1440244	50.1
   189	 1440294	50.3
   190	 1440344	50.3
   191	 1440394	50.3
   192	 1440462	50.3
   193	 1440510	50.3
   194	 1440556	50.3
   195	 1440604	50.3
   196	 1440644	50.3
   197	 1440694	50.3
   198	 1440744	50.3
   199	 1440794	50.3
   200	 1440850	50.3
   201	 1440894	50.3
   202	 1440944	50.3
   203	 1440994	50.3
   204	 1441044	50.3
   205	 1441094	50.3
   206	 1441150	50.3
   207	 1441196	50.3
   208	 1441244	50.3
   209	 1441302	50.3
   210	 1441348	50.3
   211	 1441400	50.3
   212	 1441452	50.3
   213	 1441494	50.3
   214	 1441544	50.3
   215	 1441594	50.3
   216	 1441644	50.3
   217	 1441694	50.1
   218	 1441744	50.3
   219	 1441794	50.3
   220	 1441844	50.3
   221	 1441894	50.3
   222	 1441964	50.3
   223	 1442002	50.3
   224	 1442054	50.3
   225	 1442102	50.3
   226	 1442144	50.3
   227	 1442194	50.3
   228	 1442244	50.3
   229	 1442294	50.3
   230	 1442344	50.3
   231	 1442394	50.3
   232	 1442444	50.3
   233	 1442494	50.3
   234	 1442544	50.3
   235	 1442610	50.3
   236	 1442660	50.1
   237	 1442704	50.3
   238	 1442746	50.3
   239	 1442800	50.3
   240	 1442846	50.3
   241	 1442894	50.3
   242	 1442944	50.3
   243	 1442994	50.3
   244	 1443044	50.3
   245	 1443094	50.1
   246	 1443144	50.3
   247	 1443194	50.3
   248	 1443244	50.3
   249	 1443308	50.3
