Cycle	Time	FAM	HEX	ROX	CY5
     1	 2268129	545.0	502.0	244.0	838.0
     2	 2378130	553.0	512.0	241.0	846.0
     3	 2487130	555.0	512.0	244.0	848.0
     4	 2596138	555.0	516.0	243.0	848.0
     5	 2705129	553.0	514.0	242.0	852.0
     6	 2814129	551.0	509.0	242.0	849.0
     7	 2923130	549.0	510.0	243.0	844.0
     8	 3032130	551.0	516.0	248.0	854.0
     9	 3141130	552.0	515.0	246.0	860.0
    10	 3250130	552.0	516.0	243.0	857.0
    11	 3359130	548.0	512.0	245.0	856.0
    12	 3468130	548.0	509.0	245.0	854.0
    13	 3577130	549.0	509.0	245.0	853.0
    14	 3686142	544.0	510.0	247.0	856.0
    15	 3795130	551.0	511.0	245.0	856.0
    16	 3904130	552.0	514.0	245.0	860.0
    17	 4018130	553.0	514.0	245.0	858.0
    18	 4127130	551.0	515.0	246.0	860.0
    19	 4236130	552.0	516.0	245.0	862.0
    20	 4345130	555.0	513.0	246.0	864.0
    21	 4454130	545.0	509.0	245.0	867.0
    22	 4563130	553.0	514.0	245.0	867.0
    23	 4672133	553.0	515.0	247.0	871.0
    24	 4781130	552.0	512.0	246.0	870.0
    25	 4890130	553.0	514.0	245.0	868.0
    26	 4999131	550.0	511.0	246.0	873.0
    27	 5108134	552.0	513.0	246.0	874.0
    28	 5217129	553.0	513.0	246.0	880.0
    29	 5326130	551.0	513.0	246.0	885.0
    30	 5435131	551.0	514.0	246.0	895.0
    31	 5564130	548.0	515.0	245.0	915.0
    32	 5673130	551.0	516.0	248.0	944.0
    33	 5782130	553.0	515.0	243.0	989.0
    34	 5891130	549.0	509.0	246.0	1055.0
    35	 6000130	557.0	521.0	246.0	1117.0
    36	 6109130	560.0	527.0	243.0	1184.0
    37	 6218130	571.0	536.0	248.0	1248.0
    38	 6327130	569.0	537.0	247.0	1323.0
    39	 6436130	589.0	552.0	249.0	1370.0
    40	 6544130	600.0	560.0	248.0	1420.0
    41	 6652130	613.0	571.0	249.0	1457.0
    42	 6760130	627.0	582.0	249.0	1493.0
    43	 6868129	636.0	587.0	248.0	1550.0
    44	 6977138	652.0	602.0	249.0	1569.0
    45	 7086130	673.0	623.0	250.0	1561.0
