 Cycle    Time        FAM        HEX        ROX         CY5
     1 2268129 551.727273 508.954545 242.363636  842.272727
     2 2378130 551.636364 509.600000 242.636364  843.854545
     3 2487130 551.545455 510.245455 242.909091  845.436364
     4 2596138 551.454545 510.890909 243.181818  847.018182
     5 2705129 551.363636 511.536364 243.454545  848.600000
     6 2814129 551.272727 512.181818 243.727273  850.181818
     7 2923130 551.545455 512.818182 243.818182  851.636364
     8 3032130 551.181818 512.545455 244.181818  852.272727
     9 3141130 550.181818 512.363636 244.454545  853.000000
    10 3250130 549.818182 511.909091 244.636364  853.727273
    11 3359130 549.727273 511.909091 244.909091  854.454545
    12 3468130 549.909091 512.363636 245.181818  855.272727
    13 3577130 550.090909 512.818182 245.454545  856.727273
    14 3686142 550.181818 512.818182 245.181818  857.454545
    15 3795130 550.454545 512.636364 245.181818  857.818182
    16 3904130 549.818182 512.000000 245.363636  858.727273
    17 4018130 550.272727 512.181818 245.363636  859.727273
    18 4127130 550.727273 512.727273 245.545455  861.272727
    19 4236130 551.000000 513.000000 245.636364  862.818182
    20 4345130 551.818182 513.363636 245.454545  863.909091
    21 4454130 551.727273 513.363636 245.545455  865.454545
    22 4563130 551.727273 513.272727 245.636364  866.727273
    23 4672133 551.727273 513.181818 245.727273  868.727273
    24 4781130 551.727273 513.000000 245.727273  871.000000
    25 4890130 551.636364 512.818182 245.818182  874.000000
    26 4999131 551.000000 513.000000 245.727273  878.636364
    27 5108134 551.545455 513.636364 246.000000  885.636364
    28 5217129 551.545455 513.727273 245.818182  896.727273
    29 5326130 551.181818 513.181818 245.727273  913.454545
    30 5435131 551.636364 514.000000 245.727273  935.909091
    31 5564130 552.272727 515.181818 245.545455  964.636364
    32 5673130 554.181818 517.454545 245.727273  998.727273
    33 5782130 555.727273 519.636364 245.818182 1039.545455
    34 5891130 559.000000 523.181818 246.090909 1084.090909
    35 6000130 563.454545 527.454545 246.272727 1132.727273
    36 6109130 569.090909 532.636364 246.545455 1183.818182
    37 6218130 576.272727 538.727273 246.909091 1236.363636
    38 6327130 584.000000 545.181818 246.909091 1291.454545
    39 6436130 593.000000 553.090909 247.454545 1344.181818
    40 6544130 604.272727 563.454545 247.818182 1390.181818
    41 6652130 615.936364 573.200000 248.254545 1436.481818
    42 6760130 627.600000 582.945455 248.690909 1482.781818
    43 6868129 639.263636 592.690909 249.127273 1529.081818
    44 6977138 650.927273 602.436364 249.563636 1575.381818
    45 7086130 662.590909 612.181818 250.000000 1621.681818
