Number	Time	Temperature
     1	    9412	59.8
     2	    9462	59.8
     3	    9512	30.8
     4	    9562	30.8
     5	    9612	31.0
     6	    9662	31.3
     7	    9712	31.7
     8	    9762	32.2
     9	    9812	32.7
    10	    9862	33.4
    11	    9912	34.0
    12	    9963	34.8
    13	   10012	35.6
    14	   10062	36.4
    15	   10112	37.2
    16	   10162	38.1
    17	   10212	38.8
    18	   10262	40.4
    19	   10312	41.2
    20	   10362	42.1
    21	   10412	42.8
    22	   10462	43.7
    23	   10512	44.4
    24	   10563	45.1
    25	   10612	45.8
    26	   10662	46.5
    27	   10712	47.1
    28	   10762	47.8
    29	   10812	48.5
    30	   10862	49.8
    31	   10913	50.3
    32	   10962	50.4
    33	   11012	51.2
    34	   11062	51.6
    35	   11112	51.8
    36	   11162	52.1
    37	   11213	52.1
    38	   11262	52.1
    39	   11312	51.9
    40	   11364	51.9
    41	   11412	51.6
    42	   11462	51.2
    43	   11512	50.8
    44	   11562	50.5
    45	   11612	50.3
    46	   11662	50.1
    47	   11712	49.8
    48	   11762	49.5
    49	   11812	49.4
    50	   11862	49.1
    51	   11912	49.1
    52	   11962	49.1
    53	   12012	49.1
    54	   12063	49.2
    55	   12112	49.8
    56	   12162	49.9
    57	   12212	50.1
    58	   12262	50.4
    59	   12312	50.7
    60	   12364	50.7
    61	   12412	51.0
    62	   12463	51.1
    63	   12512	51.2
    64	   12562	51.1
    65	   12612	51.1
    66	   12662	51.0
    67	   12712	50.7
    68	   12762	50.5
    69	   12812	50.3
    70	   12862	50.1
    71	   12912	49.5
    72	   12962	49.9
    73	   13013	49.8
    74	   13062	49.7
    75	   13112	49.7
    76	   13162	49.7
    77	   13212	49.7
    78	   13262	49.7
    79	   13313	49.5
    80	   13364	50.1
    81	   13412	50.1
    82	   13462	50.3
    83	   13512	50.1
    84	   13562	50.5
    85	   13612	50.7
    86	   13662	50.7
    87	   13712	50.3
    88	   13762	50.8
    89	   13812	50.8
    90	   13862	50.7
    91	   13912	50.7
    92	   13962	50.4
    93	   14012	50.3
    94	   14062	50.3
    95	   14112	50.1
    96	   14162	50.1
    97	   14212	50.1
    98	   14262	49.0
    99	   14313	49.9
   100	   14364	49.9
   101	   14412	49.9
   102	   14462	50.1
   103	   14512	50.1
   104	   14562	50.1
   105	   14612	50.3
   106	   14662	50.4
   107	   14712	50.4
   108	   14763	50.5
   109	   14812	50.5
   110	   14862	50.5
   111	   14912	50.7
   112	   14962	50.7
   113	   15012	50.7
   114	   15062	50.5
   115	   15112	50.5
   116	   15162	50.5
   117	   15212	50.4
   118	   15262	50.3
   119	   15312	50.3
   120	   15364	50.1
   121	   15412	50.1
   122	   15462	50.1
   123	   15512	50.1
   124	   15563	50.1
   125	   15612	50.1
   126	   15662	50.1
   127	   15712	50.1
   128	   15763	50.1
   129	   15812	50.1
   130	   15862	50.3
   131	   15912	50.4
   132	   15963	50.4
   133	   16012	50.4
   134	   16062	50.5
   135	   16112	50.5
   136	   16163	50.5
   137	   16212	50.4
   138	   16262	50.5
   139	   16312	50.4
   140	   16365	50.4
   141	   16412	50.4
   142	   16462	50.3
   143	   16512	50.3
   144	   16562	50.1
   145	   16613	50.1
   146	   16662	50.1
   147	   16712	50.1
   148	   16762	50.1
   149	   16813	50.1
   150	   16862	50.1
   151	   16912	50.3
   152	   16962	50.3
   153	   17012	50.3
   154	   17062	50.4
   155	   17112	50.4
   156	   17162	50.4
   157	   17212	50.4
   158	   17262	50.4
   159	   17312	50.4
   160	   17364	50.4
   161	   17412	50.4
   162	   17463	50.4
   163	   17512	50.4
   164	   17562	50.4
   165	   17612	50.1
   166	   17662	50.3
   167	   17712	50.3
   168	   17763	50.3
   169	   17811	50.3
   170	   17862	50.1
   171	   17912	50.1
   172	   17962	50.3
   173	   18012	50.3
   174	   18062	50.3
   175	   18112	50.3
   176	   18162	50.3
   177	   18212	50.3
   178	   18262	50.4
   179	   18312	50.4
   180	   18364	50.4
   181	   18412	50.4
   182	   18462	50.4
   183	   18512	50.4
   184	   18562	50.4
   185	   18612	50.3
   186	   18662	49.9
   187	   18712	50.3
   188	   18762	50.3
   189	   18812	50.1
   190	   18862	50.1
   191	   18913	50.1
   192	   18962	50.1
   193	   19012	50.1
   194	   19062	50.1
   195	   19113	50.1
   196	   19162	50.3
   197	   19212	50.1
   198	   19262	50.3
   199	   19312	50.3
   200	   19364	50.3
   201	   19412	50.4
   202	   19463	50.4
   203	   19512	50.4
   204	   19562	50.4
   205	   19612	50.4
   206	   19662	50.4
   207	   19712	50.3
   208	   19762	50.3
   209	   19813	50.3
   210	   19862	50.3
   211	   19912	50.3
   212	   19963	50.1
   213	   20012	49.8
   214	   20062	50.1
   215	   20112	50.1
   216	   20163	50.1
   217	   20212	50.1
   218	   20263	50.3
   219	   20312	50.1
   220	   20364	50.3
   221	   20412	50.3
   222	   20462	50.4
   223	   20512	50.4
   224	   20563	50.4
   225	   20612	50.4
   226	   20662	50.4
   227	   20712	50.3
   228	   20762	50.3
   229	   20812	50.3
   230	   20862	49.5
   231	   20912	50.1
   232	   20962	50.1
   233	   21013	50.1
   234	   21062	50.1
   235	   21113	50.1
   236	   21162	50.1
   237	   21212	50.1
   238	   21262	50.1
   239	   21312	50.1
   240	   21364	50.1
   241	   21412	50.3
   242	   21462	50.3
   243	   21512	50.3
   244	   21562	50.4
   245	   21612	50.4
   246	   21662	50.3
   247	   21712	50.4
   248	   21762	50.4
   249	   21812	50.3
   250	   21862	50.3
   251	   21913	50.3
   252	   21963	50.3
   253	   22012	50.3
   254	   22062	50.3
   255	   22112	50.3
   256	   22162	50.3
   257	   22212	50.1
   258	   22263	50.1
   259	   22312	50.1
   260	   22364	50.1
   261	   22412	50.1
   262	   22463	50.1
   263	   22512	50.1
   264	   22562	50.1
   265	   22612	50.1
   266	   22662	50.1
   267	   22712	50.1
   268	   22762	50.3
   269	   22812	50.3
   270	   22862	50.3
   271	   22913	50.3
   272	   22962	50.4
   273	   23012	50.4
   274	   23062	50.4
   275	   23112	50.3
   276	   23162	50.3
   277	   23212	50.3
   278	   23262	50.3
   279	   23312	50.3
   280	   23364	50.1
   281	   23412	50.1
   282	   23462	50.1
   283	   23512	50.1
   284	   23562	50.1
   285	   23612	50.1
   286	   23662	50.1
   287	   23713	50.1
   288	   23762	50.1
   289	   23812	50.1
   290	   23862	50.1
   291	   23912	49.9
   292	   23962	50.3
   293	   24012	50.3
   294	   24062	50.3
   295	   24112	50.3
   296	   24162	50.3
   297	   24212	50.4
   298	   24262	50.4
   299	   24312	50.4
   300	   24364	50.3
   301	   24412	50.3
   302	   24462	50.3
   303	   24512	50.3
   304	   24562	50.1
   305	   24613	50.1
   306	   24662	50.1
   307	   24713	50.1
   308	   24763	50.1
   309	   24812	50.1
   310	   24863	50.1
   311	   24912	50.1
   312	   24962	50.1
   313	   25013	50.1
   314	   25062	50.1
   315	   25113	50.1
   316	   25163	50.1
   317	   25212	50.3
   318	   25262	50.3
   319	   25312	50.3
   320	   25365	50.3
   321	   25412	50.4
   322	   25462	50.4
   323	   25512	50.4
   324	   25562	50.3
   325	   25612	50.3
   326	   25662	50.3
   327	   25713	50.3
   328	   25763	50.3
   329	   25813	50.1
   330	   25862	50.1
   331	   25912	50.1
   332	   25962	50.1
   333	   26012	50.1
   334	   26063	49.9
   335	   26112	50.1
   336	   26162	50.1
   337	   26213	50.1
   338	   26263	50.1
   339	   26312	50.1
   340	   26362	50.1
   341	   26412	50.1
   342	   26462	50.1
   343	   26512	50.3
   344	   26562	50.3
   345	   26612	50.3
   346	   26662	50.3
   347	   26713	50.3
   348	   26762	50.3
   349	   26812	50.3
   350	   26862	50.3
   351	   26912	50.3
   352	   26962	50.1
   353	   27012	50.1
   354	   27062	50.1
   355	   27112	50.1
   356	   27163	50.1
   357	   27212	50.1
   358	   27262	50.1
   359	   27312	50.1
   360	   27362	50.1
   361	   27412	50.1
   362	   27462	50.1
   363	   27513	50.1
   364	   27562	49.7
   365	   27612	50.1
   366	   27663	50.1
   367	   27712	50.1
   368	   27763	50.1
   369	   27812	50.1
   370	   27863	50.1
   371	   27913	50.1
   372	   27962	50.1
   373	   28013	50.1
   374	   28063	50.1
   375	   28112	50.1
   376	   28163	50.1
   377	   28213	50.1
   378	   28262	50.1
   379	   28312	50.1
   380	   28364	50.1
