Number	Time	Temperature
     1	 1437945	28.9
     2	 1437995	28.0
     3	 1438045	28.0
     4	 1438095	28.2
     5	 1438145	28.4
     6	 1438195	29.3
     7	 1438245	30.0
     8	 1438295	30.6
     9	 1438346	31.3
    10	 1438395	32.0
    11	 1438453	32.9
    12	 1438501	33.7
    13	 1438547	34.5
    14	 1438595	35.4
    15	 1438647	36.4
    16	 1438695	37.2
    17	 1438745	38.1
    18	 1438795	39.6
    19	 1438844	40.4
    20	 1438895	41.2
    21	 1438944	42.1
    22	 1438995	42.8
    23	 1439046	43.6
    24	 1439096	44.2
    25	 1439153	45.1
    26	 1439203	45.7
    27	 1439249	46.5
    28	 1439295	47.0
    29	 1439345	47.7
    30	 1439395	48.3
    31	 1439445	49.5
    32	 1439495	50.1
    33	 1439545	50.7
    34	 1439595	51.1
    35	 1439645	51.4
    36	 1439695	51.8
    37	 1439745	51.9
    38	 1439795	51.9
    39	 1439857	51.9
    40	 1439903	51.6
    41	 1439951	51.4
    42	 1439997	51.1
    43	 1440045	50.8
    44	 1440095	50.5
    45	 1440145	50.3
    46	 1440195	49.9
    47	 1440245	49.7
    48	 1440295	49.0
    49	 1440345	49.2
    50	 1440395	49.2
    51	 1440445	48.5
    52	 1440495	49.0
    53	 1440545	49.1
    54	 1440595	49.2
    55	 1440645	49.5
    56	 1440695	49.9
    57	 1440757	50.1
    58	 1440803	50.4
    59	 1440845	50.7
    60	 1440895	50.8
    61	 1440947	51.0
    62	 1440995	51.1
    63	 1441045	51.1
    64	 1441095	51.1
    65	 1441145	51.1
    66	 1441195	51.0
    67	 1441245	50.8
    68	 1441295	50.4
    69	 1441345	50.1
    70	 1441395	49.9
    71	 1441453	49.8
    72	 1441501	49.7
    73	 1441547	49.7
    74	 1441595	49.7
    75	 1441645	49.7
    76	 1441695	49.7
    77	 1441745	49.7
    78	 1441795	49.2
    79	 1441847	49.9
    80	 1441897	50.1
    81	 1441945	50.3
    82	 1441996	50.5
    83	 1442045	50.5
    84	 1442096	50.7
    85	 1442159	50.8
    86	 1442205	50.8
    87	 1442249	50.8
