Cycle	Time	FAM	HEX	ROX	CY5
     1	 2268991	456.0	480.0	822.0	647.0
     2	 2375991	456.0	475.0	826.0	652.0
     3	 2482993	454.0	479.0	832.0	654.0
     4	 2590003	455.0	481.0	837.0	653.0
     5	 2697000	454.0	479.0	836.0	653.0
     6	 2803999	454.0	475.0	839.0	652.0
     7	 2926998	454.0	480.0	840.0	655.0
     8	 3034991	453.0	480.0	844.0	657.0
     9	 3142991	451.0	480.0	843.0	656.0
    10	 3251005	453.0	481.0	844.0	657.0
    11	 3358991	449.0	478.0	846.0	658.0
    12	 3467001	455.0	480.0	844.0	659.0
    13	 3574991	449.0	479.0	846.0	659.0
    14	 3682991	445.0	473.0	841.0	651.0
    15	 3790991	446.0	469.0	842.0	651.0
    16	 3905991	443.0	472.0	835.0	651.0
    17	 4014004	446.0	472.0	833.0	654.0
    18	 4121991	447.0	480.0	837.0	653.0
    19	 4229992	446.0	475.0	832.0	652.0
    20	 4337991	442.0	477.0	834.0	658.0
    21	 4445991	446.0	476.0	834.0	656.0
    22	 4553991	448.0	478.0	832.0	660.0
    23	 4661991	443.0	473.0	830.0	661.0
    24	 4769991	443.0	455.0	827.0	660.0
    25	 4877993	438.0	466.0	822.0	659.0
    26	 4985991	438.0	464.0	824.0	658.0
    27	 5093991	439.0	466.0	819.0	659.0
    28	 5202001	431.0	463.0	816.0	654.0
    29	 5309998	436.0	465.0	820.0	661.0
    30	 5417991	435.0	462.0	821.0	662.0
    31	 5525991	431.0	459.0	815.0	666.0
    32	 5633991	433.0	463.0	817.0	668.0
    33	 5741991	432.0	455.0	827.0	678.0
    34	 5849991	437.0	459.0	820.0	692.0
    35	 5957993	430.0	457.0	821.0	724.0
    36	 6065991	428.0	457.0	819.0	752.0
    37	 6173991	420.0	456.0	826.0	798.0
    38	 6281991	424.0	454.0	828.0	844.0
    39	 6389991	423.0	452.0	827.0	862.0
    40	 6498991	421.0	452.0	830.0	929.0
    41	 6606991	418.0	447.0	829.0	969.0
    42	 6715991	417.0	449.0	832.0	1004.0
    43	 6823991	418.0	448.0	831.0	1039.0
    44	 6932000	413.0	443.0	837.0	1070.0
    45	 7040991	413.0	443.0	836.0	1107.0
