Number	Time	Temperature
     1	    9153	60.0
     2	    9197	59.8
     3	    9247	0.0
     4	    9297	0.0
     5	    9347	0.0
     6	    9397	0.0
     7	    9449	0.0
     8	    9497	0.0
     9	    9547	0.0
    10	    9597	0.0
    11	    9647	0.0
    12	    9713	0.0
    13	    9759	0.0
    14	    9805	0.0
    15	    9861	0.0
    16	    9907	0.0
    17	    9957	0.0
    18	    9997	0.0
    19	   10047	0.0
    20	   10097	0.0
    21	   10147	0.0
    22	   10199	0.0
    23	   10247	0.0
    24	   10297	0.0
    25	   10347	0.0
    26	   10399	0.0
    27	   10447	0.0
    28	   10497	0.0
    29	   10547	0.0
    30	   10597	0.0
    31	   10647	0.0
    32	   10697	0.0
    33	   10747	0.0
    34	   10797	0.0
    35	   10849	0.0
    36	   10909	0.0
    37	   10957	0.0
    38	   11003	0.0
    39	   11051	0.0
    40	   11099	0.0
    41	   11147	0.0
    42	   11197	0.0
    43	   11249	0.0
    44	   11297	0.0
    45	   11347	0.0
    46	   11397	0.0
    47	   11447	0.0
    48	   11497	0.0
    49	   11565	0.0
    50	   11603	0.0
    51	   11659	0.0
    52	   11705	0.0
    53	   11753	0.0
    54	   11797	0.0
    55	   11847	0.0
    56	   11897	0.0
    57	   11947	0.0
    58	   11999	0.0
    59	   12047	0.0
    60	   12097	0.0
    61	   12147	0.0
    62	   12197	0.0
    63	   12263	0.0
    64	   12305	0.0
    65	   12359	0.0
    66	   12405	0.0
    67	   12453	0.0
    68	   12501	0.0
    69	   12549	0.0
    70	   12597	0.0
    71	   12647	0.0
    72	   12697	0.0
    73	   12747	0.0
    74	   12797	0.0
    75	   12849	0.0
    76	   12897	0.0
    77	   12947	31.2
    78	   12997	31.3
    79	   13047	31.5
    80	   13111	31.5
    81	   13157	31.7
    82	   13199	32.0
    83	   13249	32.4
    84	   13301	32.7
    85	   13349	33.2
    86	   13397	33.7
    87	   13447	34.0
    88	   13499	34.5
    89	   13547	35.6
    90	   13597	36.1
    91	   13647	36.7
    92	   13697	37.3
    93	   13747	37.7
    94	   13819	38.2
    95	   13863	38.8
    96	   13909	39.9
    97	   13957	40.2
    98	   14007	40.7
    99	   14053	41.2
   100	   14097	41.8
   101	   14147	42.2
   102	   14197	42.7
   103	   14247	43.1
   104	   14297	43.7
   105	   14349	44.1
   106	   14397	44.4
   107	   14447	44.9
   108	   14497	45.2
   109	   14547	45.7
   110	   14607	46.1
   111	   14655	46.5
   112	   14701	47.1
   113	   14755	47.4
   114	   14797	47.8
   115	   14847	48.1
   116	   14901	48.5
   117	   14947	48.8
   118	   14997	49.2
   119	   15049	49.5
   120	   15097	49.8
   121	   15147	50.1
   122	   15197	50.3
   123	   15269	50.4
   124	   15311	50.7
   125	   15361	50.8
   126	   15415	50.8
   127	   15451	50.8
   128	   15499	50.7
   129	   15547	50.7
   130	   15597	50.5
   131	   15647	50.4
   132	   15697	50.3
   133	   15747	50.1
   134	   15797	50.1
   135	   15847	49.8
   136	   15897	49.8
   137	   15947	49.7
   138	   15997	49.5
   139	   16069	49.4
   140	   16107	49.4
   141	   16157	49.4
   142	   16209	49.4
   143	   16253	49.5
   144	   16297	49.5
   145	   16347	49.7
   146	   16397	49.8
   147	   16447	49.9
   148	   16497	49.9
   149	   16547	50.1
   150	   16597	49.9
   151	   16647	50.3
   152	   16697	50.4
   153	   16747	50.4
   154	   16821	50.4
   155	   16861	50.4
   156	   16905	50.4
   157	   16951	50.4
   158	   17005	50.4
   159	   17053	50.4
   160	   17101	50.3
   161	   17149	50.3
   162	   17197	50.3
   163	   17247	50.1
   164	   17297	50.1
   165	   17347	50.1
   166	   17397	50.1
   167	   17447	49.9
   168	   17497	49.9
   169	   17565	49.9
   170	   17611	49.9
   171	   17659	49.9
   172	   17705	49.9
   173	   17751	50.1
   174	   17797	50.1
   175	   17847	50.1
   176	   17899	50.1
   177	   17949	50.1
   178	   17997	50.3
   179	   18047	50.3
   180	   18099	50.3
   181	   18147	50.3
   182	   18197	50.4
   183	   18247	50.4
   184	   18319	50.4
   185	   18363	50.4
   186	   18409	50.4
   187	   18455	50.4
   188	   18509	50.3
   189	   18555	50.3
   190	   18599	50.3
   191	   18647	50.3
   192	   18697	50.1
   193	   18747	50.1
   194	   18797	50.1
   195	   18847	50.1
   196	   18897	50.1
   197	   18947	50.1
   198	   19011	50.1
   199	   19059	50.1
   200	   19123	50.1
   201	   19157	50.1
   202	   19201	50.1
   203	   19247	50.3
   204	   19297	50.3
   205	   19347	50.3
   206	   19397	50.3
   207	   19447	50.1
   208	   19497	50.3
   209	   19547	50.3
   210	   19597	50.1
   211	   19647	50.4
   212	   19697	50.4
   213	   19759	50.3
   214	   19811	50.3
   215	   19855	50.3
   216	   19907	50.1
   217	   19963	50.3
   218	   19997	50.3
   219	   20047	50.3
   220	   20099	50.3
   221	   20147	50.1
   222	   20197	50.3
   223	   20247	50.1
   224	   20297	50.1
   225	   20347	50.3
   226	   20397	50.3
   227	   20447	50.1
   228	   20517	50.3
   229	   20563	50.3
   230	   20605	50.3
   231	   20651	50.4
   232	   20701	50.3
   233	   20747	50.3
   234	   20797	50.4
   235	   20849	50.3
   236	   20897	50.3
   237	   20947	50.4
   238	   20997	50.4
   239	   21047	50.4
   240	   21099	50.3
   241	   21147	50.3
   242	   21197	50.3
   243	   21257	50.3
   244	   21297	50.3
   245	   21347	50.3
   246	   21399	50.3
   247	   21447	50.1
   248	   21497	50.3
   249	   21547	50.3
   250	   21597	50.1
   251	   21647	50.3
   252	   21715	50.3
   253	   21757	50.3
   254	   21797	50.3
   255	   21847	50.4
   256	   21899	50.4
   257	   21947	50.4
   258	   21997	50.4
   259	   22047	50.4
   260	   22099	50.4
   261	   22165	50.4
   262	   22217	50.3
   263	   22259	50.4
   264	   22303	50.4
   265	   22349	50.3
   266	   22397	50.4
   267	   22447	50.3
   268	   22497	50.1
   269	   22547	50.3
   270	   22597	50.3
   271	   22647	50.1
   272	   22697	50.3
   273	   22747	50.3
   274	   22797	50.3
   275	   22849	50.3
   276	   22913	50.3
   277	   22959	50.3
   278	   23005	50.3
   279	   23061	50.3
   280	   23101	50.3
   281	   23149	50.3
   282	   23197	50.3
   283	   23247	50.4
   284	   23297	50.3
   285	   23349	50.4
   286	   23397	50.4
   287	   23447	50.4
   288	   23497	50.3
   289	   23547	50.4
   290	   23617	50.3
   291	   23661	50.3
   292	   23703	50.3
   293	   23749	50.3
   294	   23797	50.3
   295	   23853	50.3
   296	   23897	50.3
   297	   23947	50.3
   298	   23997	50.3
   299	   24049	50.3
   300	   24099	50.3
   301	   24147	50.3
   302	   24197	50.1
   303	   24247	50.3
   304	   24315	50.3
   305	   24357	50.3
   306	   24403	50.3
   307	   24451	50.3
   308	   24505	50.3
   309	   24553	50.3
   310	   24597	50.3
   311	   24647	50.3
   312	   24699	50.3
   313	   24747	50.3
   314	   24797	50.3
   315	   24847	50.3
   316	   24897	50.3
   317	   24947	50.3
   318	   24997	50.3
   319	   25061	50.3
   320	   25107	50.3
   321	   25151	50.3
   322	   25203	50.3
   323	   25251	50.3
   324	   25303	50.1
   325	   25351	50.1
   326	   25397	50.3
   327	   25447	50.3
   328	   25497	50.1
   329	   25549	50.1
   330	   25597	50.3
   331	   25647	49.8
   332	   25697	50.3
   333	   25747	50.3
   334	   25797	50.3
   335	   25863	50.3
   336	   25907	50.3
   337	   25949	50.3
   338	   25999	50.3
   339	   26049	50.3
   340	   26099	50.3
   341	   26147	50.4
   342	   26197	50.4
   343	   26247	50.3
   344	   26297	50.3
   345	   26347	50.3
   346	   26397	50.3
   347	   26447	50.3
   348	   26497	50.3
   349	   26561	50.3
   350	   26607	50.3
   351	   26655	50.3
   352	   26706	50.1
   353	   26749	50.1
   354	   26797	50.1
   355	   26847	50.1
   356	   26897	50.1
   357	   26949	50.1
   358	   26997	50.1
   359	   27047	50.1
   360	   27099	50.3
   361	   27147	50.3
   362	   27197	50.3
   363	   27247	50.3
   364	   27297	49.9
   365	   27347	50.3
   366	   27407	50.3
   367	   27455	50.3
   368	   27503	50.3
   369	   27551	50.3
   370	   27597	50.3
   371	   27647	50.3
   372	   27697	50.3
   373	   27755	50.3
   374	   27797	50.3
   375	   27847	50.3
   376	   27897	49.7
   377	   27947	50.1
   378	   27997	50.1
   379	   28069	50.1
   380	   28109	50.1
   381	   28157	50.3
   382	   28203	50.1
   383	   28249	50.3
   384	   28299	50.3
   385	   28349	50.3
   386	   28397	50.3
   387	   28449	50.3
   388	   28497	50.3
   389	   28547	50.3
   390	   28599	50.3
   391	   28647	50.3
   392	   28697	50.3
   393	   28747	50.3
   394	   28796	50.3
   395	   28867	50.3
   396	   28911	50.3
   397	   28954	50.3
   398	   29001	50.1
   399	   29049	50.1
   400	   29099	50.1
   401	   29147	50.1
   402	   29197	50.1
   403	   29247	50.1
   404	   29299	50.1
   405	   29347	50.1
   406	   29397	50.1
   407	   29447	50.1
   408	   29497	50.1
   409	   29569	50.3
   410	   29608	50.3
   411	   29657	50.3
   412	   29713	50.3
   413	   29746	50.3
   414	   29797	50.4
   415	   29849	50.3
   416	   29897	50.3
   417	   29947	50.3
   418	   29999	50.3
   419	   30047	50.3
   420	   30099	50.3
   421	   30147	50.3
   422	   30219	50.3
   423	   30265	50.1
   424	   30309	50.1
   425	   30361	50.1
   426	   30407	50.1
   427	   30455	50.1
   428	   30501	50.1
   429	   30547	50.1
   430	   30599	50.1
   431	   30647	50.1
   432	   30699	50.1
   433	   30747	50.3
   434	   30797	50.1
   435	   30847	50.1
   436	   30897	50.3
   437	   30947	50.1
   438	   30997	50.3
   439	   31047	50.3
   440	   31109	50.3
   441	   31153	50.3
   442	   31201	50.3
   443	   31255	50.3
   444	   31299	50.3
   445	   31349	50.3
   446	   31399	50.3
   447	   31446	50.3
   448	   31499	50.1
   449	   31547	50.1
   450	   31597	50.1
   451	   31647	50.1
   452	   31697	50.1
   453	   31761	50.1
   454	   31807	50.1
   455	   31853	50.1
   456	   31901	50.1
   457	   31951	50.1
   458	   32009	50.1
   459	   32053	50.1
   460	   32101	50.1
   461	   32147	50.1
   462	   32197	50.1
   463	   32247	50.1
   464	   32299	50.1
   465	   32347	50.1
   466	   32397	50.1
   467	   32447	50.1
   468	   32517	50.3
   469	   32565	50.1
   470	   32609	50.1
   471	   32659	50.3
   472	   32701	50.3
   473	   32749	50.3
   474	   32800	50.1
   475	   32847	50.1
   476	   32899	50.3
   477	   32949	50.3
   478	   32999	50.1
   479	   33049	50.3
   480	   33099	50.1
   481	   33147	50.1
   482	   33197	50.1
   483	   33247	50.1
   484	   33313	50.1
   485	   33365	50.1
   486	   33411	50.3
   487	   33459	50.1
   488	   33501	50.1
   489	   33549	50.3
   490	   33599	50.3
   491	   33655	50.3
   492	   33699	50.3
   493	   33749	50.3
   494	   33799	50.3
   495	   33849	50.3
   496	   33897	50.3
   497	   33947	50.3
   498	   34013	50.3
   499	   34057	50.1
   500	   34107	50.1
   501	   34155	50.1
   502	   34199	50.1
   503	   34247	50.1
   504	   34299	50.1
   505	   34347	50.1
   506	   34399	50.1
   507	   34449	50.1
   508	   34499	50.1
   509	   34549	50.1
   510	   34599	50.1
   511	   34647	50.1
   512	   34699	50.1
   513	   34747	50.1
   514	   34813	50.1
   515	   34859	50.1
   516	   34903	50.1
   517	   34953	50.1
   518	   34997	50.1
   519	   35047	50.1
   520	   35099	50.3
   521	   35147	50.3
   522	   35197	50.3
   523	   35247	50.3
   524	   35299	50.1
   525	   35347	50.1
   526	   35397	50.1
   527	   35449	49.9
   528	   35497	50.1
   529	   35547	50.1
   530	   35597	50.3
   531	   35647	50.3
   532	   35711	50.3
   533	   35763	50.3
   534	   35805	50.3
   535	   35859	50.1
   536	   35903	50.3
   537	   35949	50.3
   538	   35997	50.3
   539	   36047	50.3
   540	   36099	50.1
   541	   36147	50.1
   542	   36197	50.1
   543	   36247	50.1
   544	   36297	50.1
   545	   36347	50.1
   546	   36413	50.1
   547	   36453	50.1
   548	   36501	50.1
   549	   36549	50.1
   550	   36599	50.1
   551	   36647	50.1
