Cycle	Time	FAM	HEX	ROX	CY5
     1	  840865	555.0	535.0	259.0	832.0
     2	  946863	557.0	541.0	257.0	838.0
     3	 1052868	558.0	547.0	258.0	840.0
     4	 1159863	561.0	546.0	259.0	841.0
     5	 1265868	559.0	543.0	256.0	842.0
     6	 1371863	558.0	540.0	256.0	839.0
     7	 1479865	556.0	537.0	257.0	843.0
     8	 1585874	554.0	536.0	257.0	845.0
     9	 1691863	552.0	535.0	257.0	843.0
    10	 1798871	548.0	535.0	256.0	841.0
    11	 1904863	551.0	533.0	255.0	838.0
    12	 2010863	549.0	532.0	256.0	838.0
    13	 2116863	550.0	529.0	256.0	841.0
    14	 2222863	548.0	531.0	256.0	844.0
    15	 2328863	549.0	530.0	254.0	843.0
    16	 2434863	547.0	528.0	255.0	842.0
    17	 2540863	547.0	528.0	250.0	843.0
    18	 2646863	545.0	528.0	254.0	841.0
    19	 2752863	548.0	524.0	252.0	842.0
    20	 2858863	540.0	521.0	249.0	841.0
    21	 2964863	540.0	518.0	252.0	840.0
    22	 3070863	537.0	516.0	251.0	841.0
    23	 3176870	538.0	515.0	249.0	841.0
    24	 3282864	537.0	513.0	249.0	841.0
    25	 3388863	534.0	511.0	249.0	840.0
    26	 3494863	534.0	514.0	249.0	840.0
    27	 3600870	533.0	521.0	248.0	845.0
    28	 3706863	533.0	530.0	247.0	845.0
    29	 3812863	535.0	547.0	248.0	850.0
    30	 3918863	532.0	566.0	246.0	852.0
    31	 4024863	533.0	603.0	248.0	865.0
    32	 4130863	537.0	643.0	246.0	880.0
    33	 4236863	540.0	691.0	246.0	902.0
    34	 4342863	543.0	744.0	247.0	930.0
    35	 4448863	551.0	811.0	245.0	966.0
    36	 4554871	549.0	878.0	245.0	1005.0
    37	 4660863	555.0	954.0	250.0	1045.0
    38	 4766863	562.0	1025.0	245.0	1090.0
    39	 4872863	568.0	1098.0	247.0	1130.0
    40	 4978863	571.0	1162.0	244.0	1169.0
    41	 5084863	579.0	1231.0	246.0	1204.0
    42	 5190863	585.0	1289.0	246.0	1238.0
    43	 5296863	594.0	1352.0	246.0	1265.0
    44	 5402863	601.0	1404.0	244.0	1294.0
    45	 5508863	605.0	1458.0	245.0	1319.0
