Number	Time	Temperature
     1	 1436872	27.6
     2	 1436922	27.6
     3	 1436972	27.8
     4	 1437022	27.8
     5	 1437072	28.6
     6	 1437122	29.1
     7	 1437190	29.7
     8	 1437234	30.6
     9	 1437279	31.2
    10	 1437332	32.0
    11	 1437379	33.0
    12	 1437428	33.9
    13	 1437474	34.8
    14	 1437522	35.8
    15	 1437572	36.6
    16	 1437622	37.7
    17	 1437672	39.5
    18	 1437722	40.4
    19	 1437772	41.2
    20	 1437822	42.1
    21	 1437890	43.0
    22	 1437932	43.8
    23	 1437986	44.6
    24	 1438030	45.5
    25	 1438074	46.4
    26	 1438126	47.0
    27	 1438180	47.7
    28	 1438226	49.2
    29	 1438272	49.5
    30	 1438322	50.5
    31	 1438372	51.1
    32	 1438422	51.6
    33	 1438472	52.1
    34	 1438522	52.3
    35	 1438572	52.5
    36	 1438638	52.5
    37	 1438684	52.5
    38	 1438729	52.3
    39	 1438778	52.1
    40	 1438824	51.9
    41	 1438872	51.6
    42	 1438922	51.0
    43	 1438972	50.7
    44	 1439022	50.3
    45	 1439072	49.9
    46	 1439122	49.7
    47	 1439172	49.2
    48	 1439222	49.1
    49	 1439272	49.1
    50	 1439322	49.0
    51	 1439372	49.0
    52	 1439440	49.1
    53	 1439484	49.4
    54	 1439528	49.5
    55	 1439574	50.1
    56	 1439628	50.3
    57	 1439672	50.5
    58	 1439722	50.8
    59	 1439772	51.1
    60	 1439822	51.2
    61	 1439872	51.4
    62	 1439922	51.4
    63	 1439972	51.4
    64	 1440022	51.2
    65	 1440072	51.1
    66	 1440132	51.0
    67	 1440186	50.5
    68	 1440234	50.1
    69	 1440278	50.1
    70	 1440322	49.9
    71	 1440372	49.8
    72	 1440422	49.7
    73	 1440472	49.5
    74	 1440522	49.5
    75	 1440572	49.5
    76	 1440622	49.5
    77	 1440672	49.8
    78	 1440722	49.8
    79	 1440774	49.9
    80	 1440822	50.4
    81	 1440888	50.5
    82	 1440934	50.7
    83	 1440978	50.8
    84	 1441028	50.8
    85	 1441076	51.0
    86	 1441126	51.0
    87	 1441172	51.0
    88	 1441222	50.8
    89	 1441272	50.7
    90	 1441322	50.5
    91	 1441372	50.4
    92	 1441422	50.1
    93	 1441472	50.1
    94	 1441522	49.8
    95	 1441572	49.8
    96	 1441638	49.7
    97	 1441684	49.5
    98	 1441734	49.7
    99	 1441774	49.8
   100	 1441824	49.8
   101	 1441874	50.1
   102	 1441922	50.1
   103	 1441972	50.4
   104	 1442022	50.4
   105	 1442072	50.7
   106	 1442122	50.8
   107	 1442172	50.8
   108	 1442222	50.8
   109	 1442272	50.8
   110	 1442322	50.8
   111	 1442372	50.7
   112	 1442438	50.5
   113	 1442530	49.8
   114	 1442576	50.1
   115	 1442626	50.1
   116	 1442678	49.9
   117	 1442722	49.8
   118	 1442772	49.8
   119	 1442822	49.9
   120	 1442874	49.9
   121	 1442922	49.9
   122	 1442972	50.1
   123	 1443022	50.1
   124	 1443072	50.3
   125	 1443140	50.4
   126	 1443184	50.4
   127	 1443238	50.8
   128	 1443277	50.8
   129	 1443322	50.8
   130	 1443372	50.8
   131	 1443424	50.8
   132	 1443474	50.7
   133	 1443522	50.1
   134	 1443572	50.5
   135	 1443622	50.4
   136	 1443674	50.3
   137	 1443722	50.1
   138	 1443772	50.1
   139	 1443822	50.1
   140	 1443872	49.9
   141	 1443938	49.9
   142	 1443986	49.9
   143	 1444036	50.1
   144	 1444076	50.1
