Number	Time	Temperature
     1	 1431811	60.0
     2	 1431861	60.0
     3	 1431911	36.9
     4	 1431961	36.6
     5	 1432013	36.9
     6	 1432063	36.9
     7	 1432113	37.3
     8	 1432163	37.6
     9	 1432223	38.1
    10	 1432269	38.4
    11	 1432316	40.1
    12	 1432363	40.6
    13	 1432413	41.3
    14	 1432461	42.2
    15	 1432511	43.1
    16	 1432561	43.8
    17	 1432611	44.6
    18	 1432663	45.5
    19	 1432713	46.4
    20	 1432763	47.1
    21	 1432813	48.0
    22	 1432871	49.0
    23	 1432917	49.7
    24	 1432965	51.1
    25	 1433011	51.8
    26	 1433061	52.3
    27	 1433111	52.9
    28	 1433161	53.0
    29	 1433213	53.3
    30	 1433263	53.3
    31	 1433313	53.4
    32	 1433361	53.3
    33	 1433413	53.1
    34	 1433461	53.3
    35	 1433513	53.0
    36	 1433563	52.7
    37	 1433611	52.3
    38	 1433661	52.2
    39	 1433719	51.9
    40	 1433767	51.5
    41	 1433813	51.2
    42	 1433863	51.1
    43	 1433911	50.8
    44	 1433961	50.5
    45	 1434011	50.3
    46	 1434061	50.1
    47	 1434111	49.9
    48	 1434163	49.9
    49	 1434213	49.8
    50	 1434263	49.7
    51	 1434313	49.7
    52	 1434371	49.8
    53	 1434419	49.9
    54	 1434465	49.8
    55	 1434515	49.8
    56	 1434563	49.8
    57	 1434613	49.8
    58	 1434663	49.8
    59	 1434711	49.9
    60	 1434763	49.8
    61	 1434813	49.8
    62	 1434863	49.7
    63	 1434913	49.7
    64	 1434963	49.7
    65	 1435013	49.5
    66	 1435063	49.5
    67	 1435121	49.5
    68	 1435167	49.7
    69	 1435213	49.7
    70	 1435263	49.7
    71	 1435311	49.7
    72	 1435363	49.7
    73	 1435411	49.7
    74	 1435461	49.8
    75	 1435513	50.1
    76	 1435561	49.8
    77	 1435611	50.1
    78	 1435661	50.1
    79	 1435711	50.1
    80	 1435763	50.1
    81	 1435813	50.1
    82	 1435861	50.1
    83	 1435913	49.9
    84	 1435971	49.9
    85	 1436019	49.9
    86	 1436069	49.8
    87	 1436115	49.8
    88	 1436163	49.7
    89	 1436213	49.7
    90	 1436261	49.8
    91	 1436311	49.7
    92	 1436361	49.5
    93	 1436411	49.7
    94	 1436463	49.7
    95	 1436513	49.7
    96	 1436563	49.7
    97	 1436611	49.7
    98	 1436671	49.7
    99	 1436717	49.7
   100	 1436763	49.9
   101	 1436813	49.8
   102	 1436861	49.8
   103	 1436911	50.1
   104	 1436961	49.9
   105	 1437011	50.1
   106	 1437063	49.9
   107	 1437113	50.1
   108	 1437163	49.9
   109	 1437213	49.8
   110	 1437263	49.9
   111	 1437313	49.9
   112	 1437361	49.9
   113	 1437413	49.9
   114	 1437471	49.9
   115	 1437519	50.1
   116	 1437565	50.1
   117	 1437613	49.9
   118	 1437663	50.1
   119	 1437713	50.1
   120	 1437763	50.1
   121	 1437811	50.1
   122	 1437861	50.1
   123	 1437911	50.1
   124	 1437963	49.9
   125	 1438011	49.9
   126	 1438075	49.9
   127	 1438119	49.9
   128	 1438167	49.8
   129	 1438213	49.8
   130	 1438261	49.7
   131	 1438311	49.8
   132	 1438361	49.8
   133	 1438415	49.8
   134	 1438463	49.9
   135	 1438511	49.9
   136	 1438563	49.8
   137	 1438611	50.1
   138	 1438661	49.8
   139	 1438713	49.9
   140	 1438763	50.1
   141	 1438813	49.9
   142	 1438863	50.1
   143	 1438913	50.1
   144	 1438975	50.1
   145	 1439019	50.1
   146	 1439065	50.1
   147	 1439113	50.1
   148	 1439163	50.1
   149	 1439211	50.1
   150	 1439261	50.1
   151	 1439311	49.9
   152	 1439361	50.1
   153	 1439413	50.1
   154	 1439463	49.9
   155	 1439513	49.9
   156	 1439563	49.9
   157	 1439621	49.9
   158	 1439667	50.1
   159	 1439715	49.9
   160	 1439763	50.1
   161	 1439813	50.1
   162	 1439861	50.1
   163	 1439911	50.1
   164	 1439963	50.3
   165	 1440013	50.1
   166	 1440063	50.1
   167	 1440111	50.1
   168	 1440161	50.1
   169	 1440213	49.9
   170	 1440263	50.1
   171	 1440313	49.9
   172	 1440363	50.1
   173	 1440413	49.9
   174	 1440471	49.8
   175	 1440519	49.9
   176	 1440565	49.9
   177	 1440611	49.9
   178	 1440663	49.9
   179	 1440713	50.1
   180	 1440763	49.9
   181	 1440811	50.1
   182	 1440863	50.1
   183	 1440913	50.1
   184	 1440961	50.1
   185	 1441011	50.1
   186	 1441061	50.1
   187	 1441111	50.1
   188	 1441163	50.1
   189	 1441213	50.1
   190	 1441261	50.1
   191	 1441321	50.1
   192	 1441367	50.1
   193	 1441413	50.1
   194	 1441463	50.1
   195	 1441521	50.1
   196	 1441569	50.1
   197	 1441617	49.9
   198	 1441663	49.8
   199	 1441713	49.9
   200	 1441763	49.8
   201	 1441811	49.9
   202	 1441861	49.9
   203	 1441911	49.8
   204	 1441961	49.9
   205	 1442013	50.1
   206	 1442063	50.1
   207	 1442123	49.8
   208	 1442171	50.1
   209	 1442215	50.1
   210	 1442261	50.1
   211	 1442313	50.3
   212	 1442361	50.1
   213	 1442411	50.1
   214	 1442463	50.1
   215	 1442511	50.3
   216	 1442563	50.3
   217	 1442613	50.3
   218	 1442661	50.1
   219	 1442713	50.1
   220	 1442763	50.3
   221	 1442812	50.1
   222	 1442861	50.1
   223	 1442913	50.1
   224	 1442963	50.1
   225	 1443011	50.1
   226	 1443063	50.1
   227	 1443113	50.1
   228	 1443163	49.9
   229	 1443219	49.9
   230	 1443265	49.9
   231	 1443311	50.1
   232	 1443363	49.9
   233	 1443411	50.1
   234	 1443461	50.1
   235	 1443513	50.1
   236	 1443561	50.1
   237	 1443613	50.1
   238	 1443663	50.1
   239	 1443713	50.1
   240	 1443763	50.1
   241	 1443823	50.3
   242	 1443871	50.3
   243	 1443917	50.3
   244	 1443963	50.1
   245	 1444011	50.3
   246	 1444063	50.1
   247	 1444111	50.1
   248	 1444161	50.1
   249	 1444213	50.1
   250	 1444263	50.1
   251	 1444311	50.1
   252	 1444361	50.1
   253	 1444411	50.1
   254	 1444461	50.1
   255	 1444511	50.1
   256	 1444563	50.1
   257	 1444613	49.9
   258	 1444661	49.9
   259	 1444721	49.9
   260	 1444767	49.9
   261	 1444812	49.9
   262	 1444863	50.1
   263	 1444913	50.1
   264	 1444961	50.1
   265	 1445011	50.1
   266	 1445061	50.1
   267	 1445111	50.1
   268	 1445163	50.1
   269	 1445213	50.1
   270	 1445261	50.1
   271	 1445311	50.1
   272	 1445369	50.1
   273	 1445417	50.1
   274	 1445463	49.9
   275	 1445513	50.1
   276	 1445571	50.1
   277	 1445617	50.1
   278	 1445663	49.9
   279	 1445713	49.9
   280	 1445763	49.9
   281	 1445811	50.1
   282	 1445861	49.9
   283	 1445911	50.1
   284	 1445963	50.1
   285	 1446011	50.1
   286	 1446063	50.1
   287	 1446113	50.1
   288	 1446163	50.1
   289	 1446221	50.1
   290	 1446269	50.1
