Cycle	Time	FAM	HEX	ROX	CY5
     1	 2267760	474.0	492.0	314.0	794.0
     2	 2379760	474.0	487.0	312.0	800.0
     3	 2491760	467.0	487.0	314.0	802.0
     4	 2603760	473.0	484.0	312.0	806.0
     5	 2718761	467.0	488.0	311.0	811.0
     6	 2830769	467.0	493.0	313.0	810.0
     7	 2942769	470.0	492.0	316.0	810.0
     8	 3054760	460.0	486.0	310.0	810.0
     9	 3166760	467.0	486.0	318.0	815.0
    10	 3278768	465.0	492.0	316.0	814.0
    11	 3390760	468.0	490.0	319.0	814.0
    12	 3502760	469.0	495.0	322.0	817.0
    13	 3614769	470.0	494.0	317.0	816.0
    14	 3726760	469.0	497.0	317.0	817.0
    15	 3838760	465.0	491.0	318.0	819.0
    16	 3950760	465.0	492.0	317.0	816.0
    17	 4062767	466.0	497.0	315.0	820.0
    18	 4174771	466.0	500.0	316.0	819.0
    19	 4286765	464.0	496.0	315.0	820.0
    20	 4398769	473.0	498.0	317.0	820.0
    21	 4510761	469.0	500.0	316.0	821.0
    22	 4622760	473.0	499.0	314.0	823.0
    23	 4753760	469.0	498.0	316.0	822.0
    24	 4865760	469.0	497.0	318.0	824.0
    25	 4977760	472.0	500.0	317.0	824.0
    26	 5090762	472.0	499.0	318.0	825.0
    27	 5202761	470.0	498.0	314.0	826.0
    28	 5314760	472.0	503.0	321.0	830.0
    29	 5426760	470.0	496.0	319.0	833.0
    30	 5538760	471.0	505.0	318.0	843.0
    31	 5670760	472.0	504.0	322.0	853.0
    32	 5783760	473.0	500.0	322.0	872.0
    33	 5895760	474.0	507.0	321.0	901.0
    34	 6008760	473.0	503.0	320.0	948.0
    35	 6120760	474.0	509.0	323.0	999.0
    36	 6233760	480.0	511.0	322.0	1058.0
    37	 6345760	487.0	508.0	322.0	1129.0
    38	 6457760	494.0	517.0	324.0	1185.0
    39	 6569760	515.0	520.0	329.0	1251.0
    40	 6682760	529.0	526.0	326.0	1301.0
    41	 6794760	553.0	531.0	321.0	1364.0
    42	 6906768	582.0	539.0	325.0	1405.0
    43	 7018760	613.0	552.0	330.0	1432.0
    44	 7131760	638.0	552.0	323.0	1474.0
    45	 7243760	671.0	570.0	325.0	1486.0
